Contig	A5-S03	A5-S04	KW1-S05	KW1-S08	KW1-S11	KW1-S15	KW1-S21
KW1-S11__k141_2008895	2.4841592	2.2461414	1.0113729	4.3216896	3.5775793	3.184403	3.8659627
KW1-S21__k141_2685168	0.42813456	0.93883795	0.28542304	0.14271152	0.99898064	1.1416922	2.4699287
A5-S03__k141_5975205	3.4855769	1.7096153	1.4134616	0.46346155	0.53846157	1.75	1.2115384
KW1-S21__k141_8220168	0.47945204	0.8481735	0.5097032	1.6147261	1.4046804	0.74486303	2.331621
KW1-S15__k141_10509184	0.9235669	1.2876858	0.21868365	1.1167728	1.1995754	2.3800426	1.5233545
KW1-S08__k141_5425506	30.31619	73.094765	63.27667	60.760475	47.31	56.269047	57.210953
KW1-S05__k141_4291454	0.31496063	0	1.1754781	0.62992126	0.31496063	0.15748031	0.31496063
A5-S04__k141_2000502	0.838069	1.8701497	0.59517264	1.2798656	1.1973724	1.5520929	0.85548425
KW1-S08__k141_10489074	0.32735777	0.07560405	0.16835542	1.2572097	0.2182385	0	0.49961028
KW1-S15__k141_1366495	2.7324526	3.080099	3.247729	2.9050372	3.2914946	4.730801	4.6135426
KW1-S11__k141_5218557	1.3579477	0.9114688	0.7983903	2.80503	3.2042253	2.569819	1.6800805
A5-S04__k141_874208	0	3.94367	0.08130081	0	0	0	0.16260162
KW1-S05__k141_7312354	1.8963318	0.22328548	3.73126	1.1594896	2.121212	0.5582137	1.339713
KW1-S05__k141_5216064	1.5252918	1.4225681	3.4980545	1.9844358	2.0007782	2.1346304	1.7042801
A5-S04__k141_9263252	1.2411348	2.4698582	0.4964539	1.464539	0.59574467	1.1170213	1.9184397
KW1-S15__k141_8705599	1.7826918	2.587216	1.8537024	5.040063	3.844137	5.028247	4.3503265
A5-S04__k141_9028288	18.271427	27.094025	27.937962	36.66988	32.239662	39.280624	35.098866
A5-S03__k141_5429782	2.2545323	2.3161712	1.2965918	1.475707	0.5076142	1.3647571	1.5228426
