rps3	phylum_merge	A5-S03	A5-S04	KW1-S05	KW1-S08	KW1-S11	KW1-S15	KW1-S21
k141_1000376_4	Planctomycetes	0.004356976	0.008236948	0.004261786	0.005171733	0.007907399	0.006844646	0.010309102
k141_1000564_6	unclassify	0.029267828	0.026400131	0.016106386	0.010066703	0.005001478	0.007526384	0.017415575
k141_10006718_2	Chloroflexi	0	0	0	0.002425311	0.004935808	0.016818993	0.004106283
k141_10010676_9	Gammaproteobacteria	0.165317482	0.21424409	0.156835109	0.165570355	0.211407485	0.158991102	0.197292137
k141_10012532_4	Gammaproteobacteria	0.003902706	0.016445391	0.003203644	0	0.003175334	0.002604264	0
k141_10029077_5	Gemmatimonadetes	0.125904603	0.097116841	0.110139823	0.164989781	0.179590508	0.095331048	0.153430478
k141_10043739_2	Dadabacteria	0.027398247	0.03956305	0.028930293	0.028929954	0.034045622	0.030984275	0.055705076
k141_10047021_1	Gammaproteobacteria	0.008364435	0.031046071	0.008015912	0.051935859	0.030080319	0.041033599	0.031251711
k141_10049916_2	Chloroflexi	0.010682144	0.012871652	0.009529734	0.00887058	0.004221462	0.017014489	0.008779979
k141_10056337_2	unclassify	0.013487599	0.014604664	0.018136448	0.014870793	0.027673313	0.011270881	0.014522018
k141_10057950_9	Gammaproteobacteria	0.065540674	0.08083572	0.07384774	0.083215553	0.07490276	0.088368194	0.085933498
k141_10060706_14	Chloroflexi	0.014101697	0.02362798	0.01378103	0.047363693	0.021686407	0.034116126	0.03697927
k141_1006508_5	unclassify	0.005867408	0.007067005	0.011046334	0.001058351	0.003224728	0.004552791	0.004471286
k141_10072817_1	Planctomycetes	0.001175914	0.002327792	0	0.00251609	0.001239221	0.002032705	0.006185724
k141_10077918_4	Thaumarchaeota	0.308147021	0.131067025	0.252404962	0.122718843	0.05798893	0.097285986	0.100741729
k141_10090621_3	Chloroflexi	0.01359413	0.008076805	0.006465903	0.011474193	0.007729755	0.008184618	0.017980856
k141_10095255_2	Acidobacteria	0.006125859	0.004976719	0.006565315	0.018129199	0.007003093	0.003113244	0.013592163
k141_1010771_5	Thaumarchaeota	0.070126391	0.133885247	0.139241133	0.047483584	0.059519471	0.065272666	0.066020517
k141_10110489_1	unclassify	0.008013065	0.014244245	0.009984079	0.02387301	0.025435165	0.015100631	0.012175028
k141_10127605_2	Planctomycetes	0.008019735	0.007939401	0.022372469	0.018543734	0.010162569	0.01835718	0.019874409
k141_10129102_15	Betaproteobacteria	0.038888274	0.035798344	0.045804172	0.058727289	0.048800801	0.045753361	0.048324663
k141_10135961_26	Alphaproteobacteria	0.051970252	0.051554353	0.055504832	0.027306933	0.068551767	0.061010075	0.061163059
k141_10141908_1	unclassify	0.055703688	0.05914346	0.066775134	0.048692617	0.049605769	0.067193461	0.080947089
k141_1015218_2	Chloroflexi	0.014957485	0.008350031	0.007096235	0.020013026	0.020306471	0.027016334	0.013530865
k141_10154029_2	other	0.02035202	0.01975083	0.036928071	0.01960043	0.013700286	0.027321475	0.024378759
k141_1015479_4	Thaumarchaeota	0.020276566	0.010714253	0.036119024	0.043043004	0.047405435	0.066536635	0.04117287
k141_10157888_1	Deltaproteobacteria	0.007213569	0	0.004940603	0.006955322	0.001632314	0.019918686	0.008458296
k141_10167687_3	Gammaproteobacteria	0.028391652	0.025502107	0.029885045	0.037015471	0.04165313	0.040489591	0.043364886
k141_10182508_2	unclassify	0.010425857	0.020122648	0.025119641	0.009997388	0.022861115	0.0194641	0.009955112
k141_10189428_2	unclassify	0.038910498	0.041607716	0.029299112	0.036922246	0.025100231	0.038721737	0.029643561
k141_10192756_4	Gammaproteobacteria	0.00627047	0.001861916	0.004771642	0.017230551	0.00946603	0.00304273	0.001896631
k141_10196945_4	Alphaproteobacteria	0.016319943	0.012352836	0.011929422	0.023032588	0.010749093	0.013929147	0.028092448
k141_10200274_2	Alphaproteobacteria	0.040252528	0.031327809	0.023988637	0.064972436	0.054516188	0.033958438	0.038715312
k141_10203214_1	Chloroflexi	0.006799976	0.005047861	0.00303077	0.002810311	0.003147949	0.018104112	0.008096221
k141_10209230_3	Chloroflexi	0.009508143	0.003091935	0.007483333	0.005130148	0.007555497	0.005657231	0.012108389
k141_1021361_9	Chloroflexi	0.05494034	0.03282706	0.049323781	0.030026107	0.03352759	0.046044197	0.030548503
k141_10222483_3	Gemmatimonadetes	0.026028811	0.02774181	0.032425445	0.027485317	0.031038602	0.055516658	0.033608392
