rps3	phylum	phylum_merge	average	type
k141_5715811_4	Acidobacteria	Acidobacteria	0.386386032	high
k141_513666_1	Acidobacteria	Acidobacteria	0.331003707	high
k141_8451724_1	Acidobacteria	Acidobacteria	0.278900638	low
k141_6184691_2	Acidobacteria	Acidobacteria	0.204207435	low
k141_1102140_5	Acidobacteria	Acidobacteria	0.172788942	low
k141_9635790_16	Acidobacteria	Acidobacteria	0.143056846	low
k141_7820312_8	Acidobacteria	Acidobacteria	0.110827804	low
k141_4044995_7	Acidobacteria	Acidobacteria	0.106649304	low
k141_6962473_7	Acidobacteria	Acidobacteria	0.091702429	low
k141_3151166_3	Acidobacteria	Acidobacteria	0.09050719	low
k141_3039364_15	Acidobacteria	Acidobacteria	0.088421438	low
k141_8988238_23	Acidobacteria	Acidobacteria	0.08521592	low
k141_345480_2	Acidobacteria	Acidobacteria	0.082072238	low
k141_1818658_8	Acidobacteria	Acidobacteria	0.079924193	low
k141_1316478_6	Acidobacteria	Acidobacteria	0.075220041	low
k141_5293847_5	Acidobacteria	Acidobacteria	0.072294263	low
k141_144526_4	Acidobacteria	Acidobacteria	0.071876415	low
k141_7332197_1	Acidobacteria	Acidobacteria	0.070993399	low
k141_122376_3	Acidobacteria	Acidobacteria	0.069102371	low
k141_8176474_2	Acidobacteria	Acidobacteria	0.063835504	low
k141_5525581_1	Acidobacteria	Acidobacteria	0.058182466	low
k141_710231_4	Acidobacteria	Acidobacteria	0.056263635	low
k141_9168819_9	Acidobacteria	Acidobacteria	0.052356326	low
k141_8879010_9	Acidobacteria	Acidobacteria	0.052128339	low
k141_853740_3	Acidobacteria	Acidobacteria	0.050864513	low
k141_5189005_4	Acidobacteria	Acidobacteria	0.049940375	low
k141_178847_15	Acidobacteria	Acidobacteria	0.049604671	low
k141_5563376_30	Acidobacteria	Acidobacteria	0.048106877	low
k141_6358113_6	Acidobacteria	Acidobacteria	0.047998598	low
k141_363645_7	Acidobacteria	Acidobacteria	0.047190741	low
k141_884492_2	Acidobacteria	Acidobacteria	0.046951425	low
k141_977894_1	Acidobacteria	Acidobacteria	0.045801427	low
k141_6090097_2	Acidobacteria	Acidobacteria	0.04483978	low
k141_2543023_3	Acidobacteria	Acidobacteria	0.044403388	low
k141_719676_4	Acidobacteria	Acidobacteria	0.044131381	low
k141_9057624_5	Acidobacteria	Acidobacteria	0.043641753	low
k141_2925890_4	Acidobacteria	Acidobacteria	0.043360965	low
k141_7205095_1	Acidobacteria	Acidobacteria	0.042067663	low
k141_9342481_25	Acidobacteria	Acidobacteria	0.042055419	low
k141_6117921_1	Acidobacteria	Acidobacteria	0.041962233	low
k141_3048607_11	Acidobacteria	Acidobacteria	0.041420276	low
k141_9672279_1	Acidobacteria	Acidobacteria	0.041171197	low
k141_6213108_1	Acidobacteria	Acidobacteria	0.040569722	low
k141_212601_8	Acidobacteria	Acidobacteria	0.04046653	low
k141_4356376_2	Acidobacteria	Acidobacteria	0.04046653	low
k141_8285757_4	Acidobacteria	Acidobacteria	0.040434422	low
k141_696244_6	Acidobacteria	Acidobacteria	0.039719028	low
k141_730383_6	Acidobacteria	Acidobacteria	0.039055557	low
k141_3833058_2	Acidobacteria	Acidobacteria	0.038050156	low
k141_6713349_4	Acidobacteria	Acidobacteria	0.037950867	low
k141_10656500_22	Acidobacteria	Acidobacteria	0.037287412	low
k141_2584231_8	Acidobacteria	Acidobacteria	0.03680508	low
k141_3658996_9	Acidobacteria	Acidobacteria	0.036488193	low
k141_5400565_2	Acidobacteria	Acidobacteria	0.035697718	low
k141_8105687_1	Acidobacteria	Acidobacteria	0.035690547	low
k141_7209430_7	Acidobacteria	Acidobacteria	0.034825337	low
k141_9722914_2	Acidobacteria	Acidobacteria	0.034785747	low
k141_1503253_1	Acidobacteria	Acidobacteria	0.03442171	low
k141_3221760_2	Acidobacteria	Acidobacteria	0.034176492	low
k141_1950845_6	Acidobacteria	Acidobacteria	0.034160174	low
k141_8766121_3	Acidobacteria	Acidobacteria	0.033253172	low
k141_3569150_7	Acidobacteria	Acidobacteria	0.032411581	low
k141_9152821_3	Acidobacteria	Acidobacteria	0.032139856	low
k141_9805170_2	Acidobacteria	Acidobacteria	0.031509493	low
k141_4730367_3	Acidobacteria	Acidobacteria	0.031420438	low
k141_3740611_4	Acidobacteria	Acidobacteria	0.031414738	low
k141_7090289_1	Acidobacteria	Acidobacteria	0.031123392	low
k141_589692_9	Acidobacteria	Acidobacteria	0.030630116	low
k141_752664_4	Acidobacteria	Acidobacteria	0.029824091	low
k141_3519469_1	Acidobacteria	Acidobacteria	0.029631421	low
k141_2461679_15	Acidobacteria	Acidobacteria	0.02899915	low
k141_7908703_1	Acidobacteria	Acidobacteria	0.028361352	low
k141_8571077_5	Acidobacteria	Acidobacteria	0.027523263	low
k141_2832271_3	Acidobacteria	Acidobacteria	0.027018845	low
k141_6872738_2	Acidobacteria	Acidobacteria	0.026585906	low
k141_4636944_1	Acidobacteria	Acidobacteria	0.026043808	low
k141_436039_2	Acidobacteria	Acidobacteria	0.025978709	low
k141_1273853_1	Acidobacteria	Acidobacteria	0.025848051	low
k141_5178450_1	Acidobacteria	Acidobacteria	0.025603496	low
k141_7562415_15	Acidobacteria	Acidobacteria	0.025320769	low
k141_6895647_3	Acidobacteria	Acidobacteria	0.025114439	low
k141_5785252_4	Acidobacteria	Acidobacteria	0.024921922	low
k141_8211913_2	Acidobacteria	Acidobacteria	0.024811186	low
k141_4660136_3	Acidobacteria	Acidobacteria	0.024416549	low
k141_3369156_2	Acidobacteria	Acidobacteria	0.024223738	low
k141_4055337_1	Acidobacteria	Acidobacteria	0.023820244	low
k141_2152539_1	Acidobacteria	Acidobacteria	0.023767716	low
k141_9962411_2	Acidobacteria	Acidobacteria	0.023682173	low
k141_7968405_6	Acidobacteria	Acidobacteria	0.023425207	low
k141_6423011_3	Acidobacteria	Acidobacteria	0.022917076	low
k141_7878838_6	Acidobacteria	Acidobacteria	0.022809408	low
k141_6708355_6	Acidobacteria	Acidobacteria	0.02261213	low
k141_2465896_15	Acidobacteria	Acidobacteria	0.022528906	low
k141_7996672_1	Acidobacteria	Acidobacteria	0.022384792	low
k141_3809762_2	Acidobacteria	Acidobacteria	0.021813599	low
k141_3195826_1	Acidobacteria	Acidobacteria	0.021631481	low
k141_2864065_3	Acidobacteria	Acidobacteria	0.021509112	low
k141_7795354_4	Acidobacteria	Acidobacteria	0.021335529	low
k141_4951589_4	Acidobacteria	Acidobacteria	0.021260133	low
k141_2518548_4	Acidobacteria	Acidobacteria	0.020950964	low
k141_475455_4	Acidobacteria	Acidobacteria	0.020623592	low
k141_6124869_2	Acidobacteria	Acidobacteria	0.020607205	low
k141_8109389_13	Acidobacteria	Acidobacteria	0.020594665	low
k141_8515967_1	Acidobacteria	Acidobacteria	0.019988817	low
k141_6976807_2	Acidobacteria	Acidobacteria	0.019839427	low
k141_9982036_6	Acidobacteria	Acidobacteria	0.019777462	low
k141_8065173_3	Acidobacteria	Acidobacteria	0.019747156	low
k141_4051946_4	Acidobacteria	Acidobacteria	0.019733804	low
k141_59281_1	Acidobacteria	Acidobacteria	0.019663062	low
k141_11502276_1	Acidobacteria	Acidobacteria	0.019400914	low
k141_7941589_1	Acidobacteria	Acidobacteria	0.019368744	low
k141_9025930_1	Acidobacteria	Acidobacteria	0.018855853	low
k141_2897037_3	Acidobacteria	Acidobacteria	0.018818541	low
k141_7982051_2	Acidobacteria	Acidobacteria	0.018242685	low
k141_1073990_1	Acidobacteria	Acidobacteria	0.01814589	low
k141_8344113_5	Acidobacteria	Acidobacteria	0.017736842	low
k141_6521742_3	Acidobacteria	Acidobacteria	0.017670963	low
k141_5065220_7	Acidobacteria	Acidobacteria	0.017521604	low
k141_2874715_1	Acidobacteria	Acidobacteria	0.01737804	low
k141_3888193_1	Acidobacteria	Acidobacteria	0.017352228	low
k141_8975951_2	Acidobacteria	Acidobacteria	0.016914883	low
k141_5547495_4	Acidobacteria	Acidobacteria	0.016325643	low
k141_584677_3	Acidobacteria	Acidobacteria	0.016294198	low
k141_3414355_5	Acidobacteria	Acidobacteria	0.01624193	low
k141_5290524_1	Acidobacteria	Acidobacteria	0.016002605	low
k141_4656751_1	Acidobacteria	Acidobacteria	0.015948946	low
k141_5848154_3	Acidobacteria	Acidobacteria	0.015931757	low
k141_8758853_1	Acidobacteria	Acidobacteria	0.015793446	low
k141_480799_1	Acidobacteria	Acidobacteria	0.015792857	low
k141_1750918_1	Acidobacteria	Acidobacteria	0.015292574	low
k141_4948785_1	Acidobacteria	Acidobacteria	0.014992201	low
k141_7841444_7	Acidobacteria	Acidobacteria	0.014983885	low
k141_5342155_2	Acidobacteria	Acidobacteria	0.01465851	low
k141_9361468_4	Acidobacteria	Acidobacteria	0.014542656	low
k141_8055620_2	Acidobacteria	Acidobacteria	0.014204162	low
k141_9903869_1	Acidobacteria	Acidobacteria	0.014136976	low
k141_3707850_1	Acidobacteria	Acidobacteria	0.013944179	low
k141_534039_1	Acidobacteria	Acidobacteria	0.013892939	low
k141_189000_1	Acidobacteria	Acidobacteria	0.013753	low
k141_2610647_6	Acidobacteria	Acidobacteria	0.013579494	low
k141_7398303_3	Acidobacteria	Acidobacteria	0.013265135	low
k141_9134415_1	Acidobacteria	Acidobacteria	0.013162615	low
k141_2897926_1	Acidobacteria	Acidobacteria	0.013142398	low
k141_8062785_1	Acidobacteria	Acidobacteria	0.013086451	low
k141_7320361_3	Acidobacteria	Acidobacteria	0.012787574	low
k141_4588479_1	Acidobacteria	Acidobacteria	0.012682113	low
k141_3971728_1	Acidobacteria	Acidobacteria	0.01263953	low
k141_2038820_4	Acidobacteria	Acidobacteria	0.012493193	low
k141_337927_1	Acidobacteria	Acidobacteria	0.012482138	low
k141_7332797_1	Acidobacteria	Acidobacteria	0.012463234	low
k141_4738075_5	Acidobacteria	Acidobacteria	0.012340544	low
k141_2877270_4	Acidobacteria	Acidobacteria	0.012271037	low
k141_3099034_4	Acidobacteria	Acidobacteria	0.012024239	low
k141_226998_1	Acidobacteria	Acidobacteria	0.011880722	low
k141_5417676_4	Acidobacteria	Acidobacteria	0.011546707	low
k141_442772_2	Acidobacteria	Acidobacteria	0.011543458	low
k141_2080024_2	Acidobacteria	Acidobacteria	0.011507766	low
k141_7137871_6	Acidobacteria	Acidobacteria	0.011434242	low
k141_3225345_4	Acidobacteria	Acidobacteria	0.011062097	low
k141_5456948_7	Acidobacteria	Acidobacteria	0.010909758	low
k141_6393657_2	Acidobacteria	Acidobacteria	0.010827835	low
k141_8979297_1	Acidobacteria	Acidobacteria	0.010724309	low
k141_3297621_2	Acidobacteria	Acidobacteria	0.010497513	low
k141_3728414_1	Acidobacteria	Acidobacteria	0.009754069	low
k141_8654927_2	Acidobacteria	Acidobacteria	0.00971577	low
k141_3724293_2	Acidobacteria	Acidobacteria	0.009382865	low
k141_3932862_2	Acidobacteria	Acidobacteria	0.009305842	low
k141_3708872_2	Acidobacteria	Acidobacteria	0.009131439	low
k141_10095255_2	Acidobacteria	Acidobacteria	0.008500799	low
k141_5839870_1	Acidobacteria	Acidobacteria	0.008443976	low
k141_1795044_4	Acidobacteria	Acidobacteria	0.008031332	low
k141_6319333_3	Acidobacteria	Acidobacteria	0.008001124	low
k141_1164840_4	Acidobacteria	Acidobacteria	0.007942777	low
k141_5567593_5	Acidobacteria	Acidobacteria	0.007863253	low
k141_430389_1	Acidobacteria	Acidobacteria	0.007595564	low
k141_2642371_1	Acidobacteria	Acidobacteria	0.007592005	low
k141_6973091_4	Acidobacteria	Acidobacteria	0.006281392	low
k141_874208_4	Acidobacteria	Acidobacteria	0.005806374	low
k141_4241624_2	Acidobacteria	Acidobacteria	0.005674332	low
k141_5308327_1	Acidobacteria	Acidobacteria	0.004195767	low
k141_7081827_4	Acidobacteria	Acidobacteria	0.004009153	low
k141_4204368_1	Acidobacteria	Acidobacteria	0.003555616	low
k141_10636432_2	Acidobacteria	Acidobacteria	0.001965802	low
k141_4990854_2	Actinobacteria	Actinobacteria	0.243215635	low
k141_6110505_7	Actinobacteria	Actinobacteria	0.221665887	low
k141_5358120_2	Actinobacteria	Actinobacteria	0.192091156	low
k141_5127284_15	Actinobacteria	Actinobacteria	0.112124343	low
k141_9371421_2	Actinobacteria	Actinobacteria	0.107629771	low
k141_1150571_20	Actinobacteria	Actinobacteria	0.103536424	low
k141_6478231_7	Actinobacteria	Actinobacteria	0.082030672	low
k141_8744295_6	Actinobacteria	Actinobacteria	0.073410542	low
k141_8199188_1	Actinobacteria	Actinobacteria	0.048704249	low
k141_7318892_1	Actinobacteria	Actinobacteria	0.048507829	low
k141_4654384_7	Actinobacteria	Actinobacteria	0.046160282	low
k141_3834364_1	Actinobacteria	Actinobacteria	0.044667053	low
k141_4665506_10	Actinobacteria	Actinobacteria	0.042858735	low
k141_303661_7	Actinobacteria	Actinobacteria	0.040274754	low
k141_2687369_4	Actinobacteria	Actinobacteria	0.033723464	low
k141_8108671_2	Actinobacteria	Actinobacteria	0.026897841	low
k141_10886026_2	Actinobacteria	Actinobacteria	0.024310546	low
k141_7046050_3	Actinobacteria	Actinobacteria	0.023425568	low
k141_11016947_1	Actinobacteria	Actinobacteria	0.01894452	low
k141_5878066_2	Actinobacteria	Actinobacteria	0.015135511	low
k141_4511623_4	Actinobacteria	Actinobacteria	0.013559481	low
k141_441995_1	Actinobacteria	Actinobacteria	0.012610772	low
k141_9009977_1	Actinobacteria	Actinobacteria	0.010695566	low
k141_2505743_1	Actinobacteria	Actinobacteria	0.010549832	low
k141_2269563_5	Alphaproteobacteria	Alphaproteobacteria	2.129932125	high
k141_542643_9	Alphaproteobacteria	Alphaproteobacteria	1.498625958	high
k141_7893729_2	Alphaproteobacteria	Alphaproteobacteria	0.534003559	high
k141_4732067_2	Alphaproteobacteria	Alphaproteobacteria	0.412242678	high
k141_6474076_1	Alphaproteobacteria	Alphaproteobacteria	0.403523866	high
k141_9341495_1	Alphaproteobacteria	Alphaproteobacteria	0.397936866	high
k141_3081586_4	Alphaproteobacteria	Alphaproteobacteria	0.383098783	high
k141_9174361_2	Alphaproteobacteria	Alphaproteobacteria	0.349352417	high
k141_2464665_1	Alphaproteobacteria	Alphaproteobacteria	0.33526228	high
k141_1925084_2	Alphaproteobacteria	Alphaproteobacteria	0.313594852	high
k141_5388572_4	Alphaproteobacteria	Alphaproteobacteria	0.305682143	high
k141_3997410_7	Alphaproteobacteria	Alphaproteobacteria	0.296320323	high
k141_7941649_12	Alphaproteobacteria	Alphaproteobacteria	0.277579976	low
k141_6500321_4	Alphaproteobacteria	Alphaproteobacteria	0.272303511	low
k141_8095664_14	Alphaproteobacteria	Alphaproteobacteria	0.261839391	low
k141_2829224_4	Alphaproteobacteria	Alphaproteobacteria	0.250487791	low
