bin_phylum	rpS3_phylum	value
Acidobacteriota	Acidobacteria	1
Acidobacteriota	Acidobacteria	1
Acidobacteriota	Acidobacteria	1
Acidobacteriota	Acidobacteria	1
Acidobacteriota	Acidobacteria	1
Acidobacteriota	Acidobacteria	1
Acidobacteriota	Acidobacteria	1
Acidobacteriota	Acidobacteria	1
Acidobacteriota	Acidobacteria	1
Acidobacteriota	Acidobacteria	1
Acidobacteriota	Acidobacteria	1
Actinobacteriota	Actinobacteria	1
Actinobacteriota	Actinobacteria	1
Actinobacteriota	Actinobacteria	1
Actinobacteriota	Actinobacteria	1
Actinobacteriota	Actinobacteria	1
Actinobacteriota	Actinobacteria	1
Actinobacteriota	Actinobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Proteobacteria	Alphaproteobacteria	1
Bacteroidota	Bacteroidetes	1
Bacteroidota	Bacteroidetes	1
Bacteroidota	Bacteroidetes	1
Bacteroidota	Bacteroidetes	1
Bacteroidota	Bacteroidetes	1
Proteobacteria	Betaproteobacteria	1
Chloroflexota	Chloroflexi	1
Chloroflexota	Chloroflexi	1
Chloroflexota	Chloroflexi	1
Chloroflexota	Chloroflexi	1
Chloroflexota	Chloroflexi	1
Chloroflexota	Chloroflexi	1
Chloroflexota	Chloroflexi	1
Chloroflexota	Chloroflexi	1
Desulfobacterota_D	Dadabacteria	1
Desulfobacterota_D	Dadabacteria	1
Desulfobacterota_D	Dadabacteria	1
Desulfobacterota_D	Dadabacteria	1
Desulfobacterota_D	Dadabacteria	1
Desulfobacterota_D	Dadabacteria	1
Desulfobacterota_D	Dadabacteria	1
Myxococcota	Deltaproteobacteria	1
Proteobacteria	Gammaproteobacteria	1
Proteobacteria	Gammaproteobacteria	1
Proteobacteria	Gammaproteobacteria	1
Proteobacteria	Gammaproteobacteria	1
Proteobacteria	Gammaproteobacteria	1
Proteobacteria	Gammaproteobacteria	1
Proteobacteria	Gammaproteobacteria	1
Proteobacteria	Gammaproteobacteria	1
Proteobacteria	Gammaproteobacteria	1
Proteobacteria	Gammaproteobacteria	1
Proteobacteria	Gammaproteobacteria	1
