Genome	A5-S03_BDME190026218-1a.sort Relative Abundance (%)
unmapped	75.42258
A5-S03_100_	0.12997593
A5-S03_104_	0.1556832
A5-S03_121_	0.0688908
A5-S03_147_	0.086915836
A5-S03_156_	0.08748999
A5-S03_163_	0.24497819
A5-S03_18_	0.14569485
A5-S03_23_	0.02839664
A5-S03_29_	1.14539
A5-S03_30_	0.605278
A5-S03_33_	0.10353091
A5-S03_47_	0.2937896
A5-S03_4_	0.075090975
A5-S03_68_	0.7600955
A5-S03_6_	0.12115675
A5-S03_71_	0.16468927
A5-S03_93_	0.083130434
A5-S04_105_	0.083587706
A5-S04_112_	0.06982765
A5-S04_114_	0.16547993
A5-S04_119_	0.12408099
A5-S04_125_	0.18068308
A5-S04_131_	0.06913661
A5-S04_136_	0.09312029
A5-S04_155_	0.1291764
A5-S04_187_	0.08858058
A5-S04_18_	0.08819168
A5-S04_200_	0.26062787
A5-S04_220_	0.06835283
A5-S04_226_	0.052893475
A5-S04_22_	0.06734522
A5-S04_30_	0.17517719
A5-S04_33_	0.08360146
A5-S04_70_	0.03449015
A5-S04_75_	0.06314778
A5-S04_77_	0.022586634
A5-S04_79_	0.3395272
A5-S04_85_	0.060720082
A5-S04_95_	0.10359914
KW1-S05_108_	0.09118283
KW1-S05_110_	0.059138037
KW1-S05_112_	0.082850575
KW1-S05_124_	0.07905865
KW1-S05_126_	0.09588662
KW1-S05_127_	0.14393726
KW1-S05_12_	0.081519164
KW1-S05_141_	0.024176512
KW1-S05_148_	0.07035153
KW1-S05_43_	0.08676812
KW1-S05_45_	0.7008542
KW1-S05_53_	0.070647165
KW1-S05_58_	0.061507095
KW1-S05_59_	0.051721595
KW1-S05_77_	0.08978097
KW1-S05_81_	0.18592326
KW1-S05_82_	0.3255149
KW1-S05_85_	0.108375825
KW1-S08_121_	0.3399028
KW1-S08_122_	0.23077863
KW1-S08_123_	1.7875354
KW1-S08_128_	0.26579753
KW1-S08_12_	0.12714237
KW1-S08_133_	0.06891892
KW1-S08_134_	0.15398695
KW1-S08_144_	0.040435832
KW1-S08_155_	1.1249107
KW1-S08_174_	0.03216079
