Genome	KW1-S11_BDME190026220-1b.sort Relative Abundance (%)
unmapped	72.50211
A5-S03_100_	0.15263289
A5-S03_104_	0.19889604
A5-S03_121_	0.090111904
A5-S03_147_	0.07611128
A5-S03_156_	0.07844641
A5-S03_163_	0.14332636
A5-S03_18_	0.1292944
A5-S03_23_	0.017553624
A5-S03_29_	1.2790169
A5-S03_30_	0.42147335
A5-S03_33_	0.040786188
A5-S03_47_	0.28342587
A5-S03_4_	0.07856302
A5-S03_68_	1.0690309
A5-S03_6_	0.13806245
A5-S03_71_	0.2774151
A5-S03_93_	0.13875617
A5-S04_105_	0.03395463
A5-S04_112_	0.071910284
A5-S04_114_	0.16635843
A5-S04_119_	0.16842663
A5-S04_125_	0.19796312
A5-S04_131_	0.09747936
A5-S04_136_	0.069881275
A5-S04_155_	0.15456755
A5-S04_187_	0.081440285
A5-S04_18_	0.10811879
A5-S04_200_	0.2738079
A5-S04_220_	0.07601755
A5-S04_226_	0.06495395
A5-S04_22_	0.0776737
A5-S04_30_	0.17910084
A5-S04_33_	0.08666818
A5-S04_70_	0.026922727
A5-S04_75_	0.06288821
A5-S04_77_	0.018587232
A5-S04_79_	0.38206354
A5-S04_85_	0.08549345
A5-S04_95_	0.080499634
KW1-S05_108_	0.0859915
KW1-S05_110_	0.046268016
KW1-S05_112_	0.08950624
KW1-S05_124_	0.07683117
KW1-S05_126_	0.12968598
KW1-S05_127_	0.18792067
KW1-S05_12_	0.09924754
KW1-S05_141_	0.020004757
KW1-S05_148_	0.08117427
KW1-S05_43_	0.077051625
KW1-S05_45_	1.3412716
KW1-S05_53_	0.05302866
KW1-S05_58_	0.046416346
KW1-S05_59_	0.053225175
KW1-S05_77_	0.0365107
KW1-S05_81_	0.21295151
KW1-S05_82_	0.39466354
KW1-S05_85_	0.11490268
KW1-S08_121_	0.3029966
KW1-S08_122_	0.35675293
KW1-S08_123_	1.6103126
KW1-S08_128_	0.2777356
KW1-S08_12_	0.14288668
KW1-S08_133_	0.1143842
KW1-S08_134_	0.1509971
KW1-S08_144_	0.042323016
KW1-S08_155_	1.2577974
KW1-S08_174_	0.03186648
KW1-S08_17_	0.089641124
KW1-S08_186_	0.1975893
KW1-S08_192_	0.09841479
KW1-S08_198_	0.12287114
KW1-S08_200_	0.13029589
KW1-S08_208_	0.038924713
KW1-S08_213_	0.06987549
KW1-S08_222_	0.044875324
KW1-S08_226_	0.07876674
KW1-S08_227_	0.24829891
KW1-S08_229_	0.017913645
KW1-S08_233_	0.043374844
KW1-S08_236_	0.10770534
KW1-S08_237_	0.061780352
KW1-S08_242_	0.028884927
KW1-S08_24_	0.05296244
KW1-S08_251_	0.083918095
KW1-S08_268_	0.16895387
KW1-S08_280_	0.07661347
KW1-S08_28_	0.063256346
KW1-S08_30_	0.075545855
KW1-S08_46_	0.0569418
KW1-S08_62_	0.04194291
KW1-S08_89_	0.078192145
KW1-S11_103_	0.07674502
KW1-S11_109_	0.086744376
KW1-S11_120_	0.12303198
KW1-S11_124_	0.043404885
KW1-S11_125_	0.092106216
KW1-S11_145_	0.16418557
KW1-S11_146_	0.5294706
KW1-S11_156_	0.13196795
KW1-S11_157_	0.034218807
KW1-S11_15_	0.025751088
KW1-S11_163_	0.13053787
KW1-S11_176_	0.16839823
KW1-S11_179_	0.08651335
KW1-S11_180_	0.13761607
KW1-S11_18_	1.0953418
KW1-S11_190_	0.14178763
KW1-S11_24_	0.08908989
KW1-S11_42_	0.081620395
KW1-S11_65_	0.058329538
KW1-S11_81_	0.10989101
KW1-S11_87_	0.15246795
KW1-S11_89_	0.039924525
KW1-S11_99_	0.07319191
KW1-S15_112_	0.052926615
KW1-S15_114_	0.04690049
KW1-S15_115_	0.06336034
KW1-S15_117_	0.020388564
KW1-S15_126_	0.1593909
KW1-S15_132_	0.11069195
KW1-S15_135_	0.086009875
KW1-S15_137_	0.10694511
KW1-S15_144_	0.10265858
KW1-S15_149_	0.096107565
KW1-S15_14_	0.069840595
KW1-S15_162_	0.061715975
KW1-S15_16_	0.09616751
KW1-S15_183_	0.03677798
KW1-S15_187_	0.16622835
KW1-S15_188_	0.14200659
KW1-S15_197_	0.1935192
KW1-S15_200_	0.103554584
KW1-S15_211_	0.10030839
KW1-S15_215_	0.054372452
KW1-S15_218_	0.07852003
