Genome	KW1-S15_BDME190026219-1a.sort Relative Abundance (%)
unmapped	78.70401
A5-S03_100_	0.09917691
A5-S03_104_	0.15298572
A5-S03_121_	0.059249744
A5-S03_147_	0.060620524
A5-S03_156_	0.062030602
A5-S03_163_	0.11878688
A5-S03_18_	0.09577187
A5-S03_23_	0.013051915
A5-S03_29_	1.0750222
A5-S03_30_	0.41499272
A5-S03_33_	0.035182543
A5-S03_47_	0.25063506
A5-S03_4_	0.047018293
A5-S03_68_	0.7817742
A5-S03_6_	0.10787607
A5-S03_71_	0.20034674
A5-S03_93_	0.07568932
A5-S04_105_	0.02880452
A5-S04_112_	0.053017743
A5-S04_114_	0.1572535
A5-S04_119_	0.12819149
A5-S04_125_	0.13257255
A5-S04_131_	0.064945914
A5-S04_136_	0.08491733
A5-S04_155_	0.103065975
A5-S04_187_	0.07024651
A5-S04_18_	0.06632521
A5-S04_200_	0.23662041
A5-S04_220_	0.055729453
A5-S04_226_	0.0396633
A5-S04_22_	0.045880284
A5-S04_30_	0.16234572
A5-S04_33_	0.06572785
A5-S04_70_	0.019697452
A5-S04_75_	0.048993915
A5-S04_77_	0.013913634
A5-S04_79_	0.27986592
A5-S04_85_	0.048103534
A5-S04_95_	0.09560094
KW1-S05_108_	0.060102858
KW1-S05_110_	0.048389714
KW1-S05_112_	0.08407198
KW1-S05_124_	0.06800947
KW1-S05_126_	0.0892042
KW1-S05_127_	0.14564674
KW1-S05_12_	0.07387752
KW1-S05_141_	0.014987867
KW1-S05_148_	0.048446875
KW1-S05_43_	0.06609309
KW1-S05_45_	0.4721865
KW1-S05_53_	0.04038567
KW1-S05_58_	0.03723072
KW1-S05_59_	0.04007845
KW1-S05_77_	0.031813
KW1-S05_81_	0.17640592
KW1-S05_82_	0.29164565
KW1-S05_85_	0.08852465
KW1-S08_121_	0.27989233
KW1-S08_122_	0.23725003
KW1-S08_123_	1.781865
KW1-S08_128_	0.24020839
KW1-S08_12_	0.10695579
KW1-S08_133_	0.08044002
KW1-S08_134_	0.09793093
KW1-S08_144_	0.028215166
KW1-S08_155_	1.0586897
KW1-S08_174_	0.020771895
KW1-S08_17_	0.062582426
KW1-S08_186_	0.13947535
KW1-S08_192_	0.046689156
KW1-S08_198_	0.08642337
KW1-S08_200_	0.089835264
KW1-S08_208_	0.049331993
KW1-S08_213_	0.05427009
KW1-S08_222_	0.02649711
KW1-S08_226_	0.046478152
KW1-S08_227_	0.18356313
KW1-S08_229_	0.013993
KW1-S08_233_	0.037695773
KW1-S08_236_	0.08399539
KW1-S08_237_	0.050407574
KW1-S08_242_	0.020548202
KW1-S08_24_	0.028286153
KW1-S08_251_	0.05942558
KW1-S08_268_	0.16092262
KW1-S08_280_	0.06671791
KW1-S08_28_	0.033898905
KW1-S08_30_	0.09237535
KW1-S08_46_	0.03907119
KW1-S08_62_	0.036552384
KW1-S08_89_	0.05656786
KW1-S11_103_	0.039501328
KW1-S11_109_	0.04815222
KW1-S11_120_	0.08867495
KW1-S11_124_	0.032375295
KW1-S11_125_	0.06611482
KW1-S11_145_	0.09806016
KW1-S11_146_	0.39663145
KW1-S11_156_	0.075707406
KW1-S11_157_	0.038580257
KW1-S11_15_	0.014973768
KW1-S11_163_	0.08383018
KW1-S11_176_	0.11033002
KW1-S11_179_	0.052116413
KW1-S11_180_	0.07120824
KW1-S11_18_	0.7975016
KW1-S11_190_	0.08493452
KW1-S11_24_	0.07121735
KW1-S11_42_	0.060756013
KW1-S11_65_	0.029617483
KW1-S11_81_	0.07968857
KW1-S11_87_	0.09327036
KW1-S11_89_	0.022147138
KW1-S11_99_	0.045206495
KW1-S15_112_	0.03601217
KW1-S15_114_	0.09158309
KW1-S15_115_	0.05333991
KW1-S15_117_	0.020127771
KW1-S15_126_	0.12766133
KW1-S15_132_	0.08347687
KW1-S15_135_	0.07325642
KW1-S15_137_	0.09189341
KW1-S15_144_	0.1310913
KW1-S15_149_	0.07391787
KW1-S15_14_	0.06141633
KW1-S15_162_	0.05180161
KW1-S15_16_	0.076510035
KW1-S15_183_	0.030312141
KW1-S15_187_	0.1323316
KW1-S15_188_	0.14784996
KW1-S15_197_	0.15642166
KW1-S15_200_	0.06336535
KW1-S15_211_	0.07095387
KW1-S15_215_	0.053466696
