Genome	A5-S03.filter Relative Abundance (%)	A5-S04.filter Relative Abundance (%)	KW1-S05.filter Relative Abundance (%)	KW1-S08.filter Relative Abundance (%)	KW1-S11.filter Relative Abundance (%)	KW1-S15.filter Relative Abundance (%)	KW1-S21.filter Relative Abundance (%)	average
A5-S03_100	0.57776	0.48017585	0.5033317	0.6040333	0.5783879	0.44134888	0.46090117	0.5208484
A5-S03_104	0.8694403	1.0984715	1.0797268	0.88023	0.93311554	0.92342144	0.96492136	0.964189563
A5-S03_121	0.2445711	0.21768486	0.23280251	0.28487763	0.31607476	0.24138373	0.25440985	0.255972063
A5-S03_147	0.42380244	0.27901724	0.3061664	0.30189672	0.30669034	0.3233694	0.2588819	0.314260634
A5-S03_156	0.387998	0.28749594	0.2770684	0.29395497	0.25562996	0.271481	0.2863046	0.294276124
A5-S03_163	1.110148	0.5879673	0.66629887	0.40452296	0.3531908	0.45127705	0.49449837	0.58112905
A5-S03_18	0.30134678	0.23754625	0.23315963	0.24898437	0.2820733	0.25866428	0.26200417	0.260539826
A5-S03_23	0.13451368	0.07925772	0.066838905	0.062838115	0.053977594	0.060564145	0.06023763	0.074032541
A5-S03_29	5.8827276	6.507234	5.7480974	5.8687954	5.3497076	5.818229	6.2155337	5.912903529
A5-S03_30	3.5329807	1.9546727	1.8055236	2.20104	1.8675936	2.4856732	2.3976064	2.320727171
A5-S03_33	0.44615948	0.15057637	0.26901254	0.17631894	0.1191727	0.13817644	0.18613438	0.21222155
A5-S03_47	1.2609799	0.7626375	0.8690723	1.3317374	0.9883705	1.1698723	0.9396022	1.046038871
A5-S03_4	0.545823	0.3021846	0.35679564	0.5054794	0.47538063	0.36179802	0.34631428	0.41339651
A5-S03_68	3.8319275	4.7352314	4.434351	4.458452	4.6638327	4.298455	4.6614795	4.440532729
A5-S03_6	0.31957462	0.3265196	0.336084	0.36774698	0.35977995	0.35921353	0.35901374	0.346847489
A5-S03_71	0.97671086	1.5576752	1.2944784	0.57927674	1.4148585	1.3759817	1.4606118	1.237084743
A5-S03_93	0.39903024	0.3823594	0.3323183	0.5176998	0.601563	0.4022085	0.45770422	0.441840494
A5-S04_105	0.37866622	0.16216426	0.25209174	0.16944051	0.109751135	0.12607127	0.1780552	0.196605762
A5-S04_112	0.17241485	0.28440264	0.13922201	0.1531514	0.16505645	0.18115963	0.21087088	0.186611123
A5-S04_114	0.6787048	0.56132835	0.58414125	0.6351398	0.5956551	0.8215296	0.6388216	0.645045786
A5-S04_119	0.7972721	1.1011086	1.0492328	0.85013473	0.89784944	0.88211584	0.9307362	0.92977853
A5-S04_125	0.86653864	1.0963846	1.0217347	1.0281383	0.8488029	0.6976825	0.8478488	0.915304349
A5-S04_131	0.21289857	0.25238279	0.24050651	0.29700068	0.33279344	0.25420657	0.2685901	0.265482666
A5-S04_136	0.33017576	0.2606726	0.3208962	0.30874574	0.16096759	0.41267803	0.32664216	0.302968297
A5-S04_155	0.51518816	0.4760609	0.47487855	0.56669605	0.53952086	0.41576737	0.43363076	0.488820379
A5-S04_187	0.2878117	0.32976764	0.34503376	0.30986056	0.2648239	0.3324952	0.31092936	0.311531731
A5-S04_18	0.18704723	0.1969852	0.107938625	0.2702241	0.27332163	0.20054625	0.16163662	0.199671379
A5-S04_200	1.0330553	0.73253274	0.76576716	1.2183487	0.9290571	1.0709229	0.8655369	0.945031543
A5-S04_220	0.257189	0.24968435	0.3039751	0.21701078	0.26240823	0.22449067	0.21424617	0.247000614
A5-S04_226	0.23653142	0.26104856	0.24884832	0.42090034	0.282139	0.21110412	0.24569039	0.272323164
A5-S04_22	0.48789605	0.32462722	0.35254905	0.5002936	0.46748883	0.35061806	0.33671477	0.40288394
A5-S04_30	0.82427806	0.5784579	1.0058987	0.74586153	0.72031575	0.97981226	0.8409013	0.8136465
A5-S04_33	0.33921912	0.3429275	0.28774244	0.34099457	0.29613382	0.28958824	0.31896564	0.31651019
A5-S04_70	0.17793983	0.23337135	0.1712865	0.12001209	0.113610245	0.108355425	0.11717075	0.148820884
A5-S04_75	0.34511808	0.28950855	0.29100323	0.28203854	0.2915653	0.30186197	0.2322137	0.290472767
A5-S04_77	0.088275306	0.11003731	0.068334155	0.062051997	0.053978536	0.06126754	0.061531357	0.072210886
A5-S04_79	0.29582983	0.41776657	0.33623314	0.23313773	0.30152103	0.3073918	0.3383753	0.318607914
A5-S04_85	0.18358801	0.265565	0.20219232	0.22849661	0.28237066	0.21123213	0.26163012	0.233582121
A5-S04_95	0.2340838	0.24021263	0.26750746	0.27306807	0.16372271	0.29672784	0.26721895	0.248934494
KW1-S05_108	0.36772263	0.31056675	0.5068632	0.115716316	0.2177014	0.16339839	0.26352948	0.277928309
KW1-S05_110	0.20252599	0.2292439	0.27192634	0.23005171	0.1490778	0.22951844	0.17873834	0.213011789
KW1-S05_112	0.3066065	0.29273102	0.35167006	0.28909084	0.27565518	0.3564737	0.30407125	0.310899793
KW1-S05_124	0.27860993	0.3423586	0.31750977	0.2466287	0.22480115	0.3325417	0.31734163	0.294255926
KW1-S05_126	0.27035508	0.27060717	0.30945656	0.33922568	0.37323734	0.29853588	0.3184323	0.311407144
KW1-S05_127	0.8124459	1.0518148	1.0579453	0.8499751	0.88563263	0.8819138	0.92457235	0.923471411
KW1-S05_12	0.46903202	0.4931097	0.5569242	0.5745706	0.4991991	0.4771124	0.4925607	0.508929817
KW1-S05_141	0.0926923	0.08356217	0.105790876	0.06638426	0.05700915	0.06515747	0.06576007	0.076622328
KW1-S05_148	0.51426715	0.30906895	0.3994516	0.5271721	0.49400994	0.37679306	0.3579624	0.425532171
KW1-S05_43	0.25173032	0.2819145	0.26882797	0.19153939	0.18690708	0.23205975	0.23381896	0.235256853
