,CE1,CE3,CE4,CE6,CE7,CE8,CE9,CE10,CE11,CE12,CE13,CE14,CE15,CE16,GH1,GH2,GH3,GH4,GH5,GH9,GH10,GH13,GH15,GH16,GH18,GH19,GH20,GH23,GH24,GH25,GH26,GH29,GH30,GH31,GH32,GH33,GH35,GH36,GH37,GH38,GH39,GH42,GH43,GH46,GH49,GH50,GH51,GH57,GH63,GH65,GH68,GH73,GH74,GH76,GH77,GH78,GH84,GH88,GH92,GH93,GH94,GH95,GH97,GH100,GH102,GH103,GH105,GH106,GH109,GH113,GH114,GH116,GH117,GH119,GH121,GH127,GH129,GH130,GH133,GH137,GH138,GH140,GH141,GH143,GH145,GH151,GH153,GH154,GH156,GH161,GH163,GH165,PL1,PL2,PL6,PL9,PL10,PL11,PL12,PL14,PL15,PL22,PL25,PL26,PL29,PL31,PL33,PL35
Acidobacteriota(16),0.6875,0.125,0.625,0.0625,0.125,0,0.25,0.9375,0.875,0,0,0.75,0.125,0,0,0.3125,0.9375,0,0,0,0,0.25,0.4375,0.0625,0,0,0,1,0,0,0,0.0625,0,0.0625,0,0.375,0,0,0.1875,0.25,0.0625,0,0.0625,0,0,0,0,0.125,0.1875,0.1875,0,0,0.875,0,0.1875,0,0,0,0,0,0.25,0,0,0,0.125,0.0625,0.0625,0,0.4375,0.5625,0,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625,0.0625,0,0,0.0625,0.0625,0,0.0625,0,0,0
Actinobacteriota(9),0.111111111,0,0.111111111,0,0,0,0.111111111,0.888888889,0,0,0,0,0,0,0.666666667,0,0,0,0.444444444,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0.555555556,0,0.555555556,0.111111111,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0.111111111,0,0,0,0,0,0,0,0,0
Bacteroidota(8),1,0.625,0.75,0,0,0,0.25,0.875,0.625,0,0.125,0.875,0,0,0,0.25,1,0,0.25,0.25,0,1,0.125,0,0,0,0.375,0.875,0,0,0,0.375,0,0.5,0.125,0.25,0,0,0.375,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0,0.125,1,0,0.125,0.5,0,0,0.125,0,0,0.25,0.625,0.125,0,0,0,0,1,0.5,0,0,0,0.125,0,0.125,0,0.5,0.125,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0.125,0,0,0.5,0,0,0,0,0,0.25
Chloroflexota(9),0.555555556,0,1,0,0.333333333,0,0,0.777777778,0,0,0,0.888888889,0,0,0,0,0.111111111,0.111111111,0,0,0,0.111111111,0.555555556,0,0.222222222,0,0,0.333333333,0.111111111,0,0,0,0,0,0.111111111,0,0,0,0,0.111111111,0,0,0,0,0,0.111111111,0,0,0.111111111,0,0,0,0.444444444,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0.222222222,0,0.333333333,0,0.111111111,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0.222222222,0,0,0,0,0,0
Desulfobacterota_B(6),0.5,0,1,0,1,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0.833333333,0,0,0.5,0,0,0,0,0,0,0,0.333333333,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfobacterota_D(7),0,0,0,0,0,0,0,0.857142857,0,0,0,0.142857143,0,0,0,0,0.857142857,0,0.714285714,0,0,0,0.857142857,0,0,0,0,1,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857,0,0,0,0,0,0,0,0.428571429,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmatimonadota(6),0.666666667,0,0.333333333,0,0,0,0,1,0.666666667,0,0,1,0.166666667,0,0,0,0.833333333,0,0,0,0,0.333333333,0,0,0,0,0.166666667,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.166666667,0,0.333333333,0,0,0,0.166666667,0.666666667,0,0,0.166666667,0.166666667,0,0,0,0.166666667,0,0,0,0,0,0.166666667,0,0.666666667,0.166666667,0.166666667,0,0,0,0.166666667,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0.166666667,0,0.666666667,0,0,0,0,0,0
KSB1(1),1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Krumholzibacteriota(1),1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Latescibacterota(1),1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
