Genome,phylum
A5-S03_100,Proteobacteria
A5-S03_104,Desulfobacterota_B
A5-S03_121,Planctomycetota
A5-S03_147,Actinobacteriota
A5-S03_156,Proteobacteria
A5-S03_163,Proteobacteria
A5-S03_18,Myxococcota_A
A5-S03_23,SAR324
A5-S03_29,Proteobacteria
A5-S03_30,Actinobacteriota
A5-S03_33,Proteobacteria
A5-S03_4,Desulfobacterota_D
A5-S03_47,Proteobacteria
A5-S03_6,Acidobacteriota
A5-S03_68,Proteobacteria
A5-S03_71,Methylomirabilota
A5-S03_93,Acidobacteriota
A5-S04_105,Proteobacteria
A5-S04_112,Gemmatimonadota
A5-S04_114,Proteobacteria
A5-S04_119,Desulfobacterota_B
A5-S04_125,Nitrospinota
A5-S04_131,Planctomycetota
A5-S04_136,Chloroflexota
A5-S04_155,Proteobacteria
A5-S04_18,Acidobacteriota
A5-S04_187,Proteobacteria
A5-S04_200,Proteobacteria
A5-S04_22,Desulfobacterota_D
A5-S04_220,Proteobacteria
A5-S04_226,Actinobacteriota
A5-S04_30,Nitrospinota
A5-S04_33,Proteobacteria
A5-S04_70,Bacteroidota
A5-S04_75,Actinobacteriota
A5-S04_77,SAR324
A5-S04_79,Proteobacteria
A5-S04_85,Acidobacteriota
A5-S04_95,Chloroflexota
KW1-S05_108,Chloroflexota
KW1-S05_110,Proteobacteria
KW1-S05_112,Chloroflexota
KW1-S05_12,Proteobacteria
KW1-S05_124,SAR324
KW1-S05_126,Planctomycetota
KW1-S05_127,Desulfobacterota_B
KW1-S05_141,SAR324
KW1-S05_148,Desulfobacterota_D
KW1-S05_43,Myxococcota_A
KW1-S05_45,Methylomirabilota
KW1-S05_53,Proteobacteria
KW1-S05_58,Proteobacteria
KW1-S05_59,Actinobacteriota
KW1-S05_77,Proteobacteria
KW1-S05_81,Planctomycetota
KW1-S05_82,Proteobacteria
KW1-S05_85,Proteobacteria
KW1-S08_12,Proteobacteria
KW1-S08_121,Thermoproteota
KW1-S08_122,Nitrospirota
KW1-S08_123,Thermoproteota
KW1-S08_128,Proteobacteria
KW1-S08_133,Bacteroidota
KW1-S08_134,Planctomycetota
KW1-S08_144,Planctomycetota
KW1-S08_155,Proteobacteria
KW1-S08_17,Proteobacteria
KW1-S08_174,Acidobacteriota
KW1-S08_186,Proteobacteria
KW1-S08_192,Desulfobacterota_B
KW1-S08_198,Proteobacteria
KW1-S08_200,Planctomycetota
KW1-S08_208,Thermoproteota
KW1-S08_213,Actinobacteriota
KW1-S08_222,Bacteroidota
KW1-S08_226,Desulfobacterota_D
KW1-S08_227,Planctomycetota
KW1-S08_229,SAR324
KW1-S08_233,Chloroflexota
KW1-S08_236,Bacteroidota
KW1-S08_237,Planctomycetota
KW1-S08_24,Verrucomicrobiota
KW1-S08_242,Bacteroidota
KW1-S08_251,Acidobacteriota
KW1-S08_268,Tectomicrobia
KW1-S08_28,Poribacteria
KW1-S08_280,Myxococcota_A
KW1-S08_30,Chloroflexota
KW1-S08_46,Proteobacteria
KW1-S08_62,Proteobacteria
KW1-S08_89,Proteobacteria
KW1-S11_103,Acidobacteriota
KW1-S11_109,Desulfobacterota_D
KW1-S11_120,Proteobacteria
KW1-S11_124,Proteobacteria
KW1-S11_125,Proteobacteria
KW1-S11_145,Proteobacteria
KW1-S11_146,Proteobacteria
KW1-S11_15,SAR324
KW1-S11_156,Acidobacteriota
KW1-S11_157,Thermoproteota
KW1-S11_163,Planctomycetota
KW1-S11_176,Proteobacteria
KW1-S11_179,Actinobacteriota
KW1-S11_18,Proteobacteria
KW1-S11_180,Acidobacteriota
KW1-S11_190,Gemmatimonadota
KW1-S11_24,SAR324
KW1-S11_42,Actinobacteriota
KW1-S11_65,Bacteroidota
KW1-S11_81,Proteobacteria
KW1-S11_87,Gemmatimonadota
KW1-S11_89,Acidobacteriota
KW1-S11_99,Proteobacteria
KW1-S15_112,Latescibacterota
KW1-S15_114,Planctomycetota
KW1-S15_115,Krumholzibacteriota
KW1-S15_117,SAR324
KW1-S15_126,Desulfobacterota_B
KW1-S15_132,Proteobacteria
KW1-S15_135,Proteobacteria
KW1-S15_137,Proteobacteria
KW1-S15_14,Planctomycetota
KW1-S15_144,Thermoproteota
KW1-S15_149,Proteobacteria
KW1-S15_16,Proteobacteria
KW1-S15_162,Actinobacteriota
KW1-S15_183,Acidobacteriota
KW1-S15_187,Myxococcota_A
KW1-S15_188,Tectomicrobia
KW1-S15_197,Acidobacteriota
KW1-S15_2,Bacteroidota
KW1-S15_200,Planctomycetota
KW1-S15_211,Planctomycetota
KW1-S15_215,Chloroflexota
KW1-S15_218,Nitrospirota
KW1-S15_227,Thermoproteota
KW1-S15_23,Proteobacteria
KW1-S15_234,Proteobacteria
KW1-S15_262,Nitrospirota
KW1-S15_266,Desulfobacterota_D
KW1-S15_267,Myxococcota
KW1-S15_279,Acidobacteriota
KW1-S15_293,Proteobacteria
KW1-S15_306,KSB1
KW1-S15_31,Planctomycetota
KW1-S15_41,Myxococcota_A
KW1-S15_72,Proteobacteria
KW1-S15_75,Proteobacteria
KW1-S15_8,Proteobacteria
KW1-S15_96,Proteobacteria
KW1-S15_97,Planctomycetota
KW1-S15_98,Proteobacteria
KW1-S21_104,Planctomycetota
KW1-S21_115,Proteobacteria
KW1-S21_123,Gemmatimonadota
KW1-S21_138,Proteobacteria
KW1-S21_141,Proteobacteria
KW1-S21_144,SAR324
KW1-S21_160,Acidobacteriota
KW1-S21_168,Tectomicrobia
KW1-S21_174,Planctomycetota
KW1-S21_189,Proteobacteria
KW1-S21_193,Gemmatimonadota
KW1-S21_196,Acidobacteriota
KW1-S21_197,Chloroflexota
KW1-S21_231,Proteobacteria
KW1-S21_238,Proteobacteria
KW1-S21_242,Proteobacteria
KW1-S21_260,Proteobacteria
KW1-S21_27,Proteobacteria
KW1-S21_271,Desulfobacterota_D
KW1-S21_28,Proteobacteria
KW1-S21_32,Gemmatimonadota
KW1-S21_52,Bacteroidota
KW1-S21_6,Desulfobacterota_B
KW1-S21_73,Chloroflexota
KW1-S21_82,Proteobacteria
KW1-S21_85,Acidobacteriota
