gene,phylum,num
aprAB,Proteobacteria,62
aprAB,Planctomycetota,18
aprAB,SAR324,9
aprAB,Acidobacteriota,9
aprAB,Chloroflexota,9
aprAB,Bacteroidota,8
aprAB,Desulfobacterota_D,7
aprAB,Desulfobacterota_B,6
aprAB,Gemmatimonadota,6
aprAB,Thermoproteota,5
aprAB,Actinobacteriota,5
aprAB,Myxococcota_A,4
aprAB,Tectomicrobia,3
aprAB,Nitrospirota,3
aprAB,Nitrospinota,2
aprAB,Methylomirabilota,2
aprAB,KSB1,1
aprAB,Poribacteria,1
aprAB,Latescibacterota,1
aprAB,Verrucomicrobiota,1
aprAB,Krumholzibacteriota,1
aprAB,Myxococcota,1
