gene,phylum,num
narB-nasAB,Proteobacteria,63
narB-nasAB,Planctomycetota,14
narB-nasAB,Acidobacteriota,12
narB-nasAB,SAR324,9
narB-nasAB,Actinobacteriota,8
narB-nasAB,Desulfobacterota_D,7
narB-nasAB,Desulfobacterota_B,6
narB-nasAB,Chloroflexota,6
narB-nasAB,Myxococcota_A,5
narB-nasAB,Gemmatimonadota,5
narB-nasAB,Bacteroidota,3
narB-nasAB,Tectomicrobia,3
narB-nasAB,Myxococcota,1
narB-nasAB,Latescibacterota,1
narB-nasAB,Nitrospirota,1
narB-nasAB,Methylomirabilota,1
narB-nasAB,Verrucomicrobiota,1
narB-nasAB,Poribacteria,1
narB-nasAB,KSB1,1
narB-nasAB,Krumholzibacteriota,1
