gene,phylum,num
narGHI-napAB,Proteobacteria,30
narGHI-napAB,Planctomycetota,11
narGHI-napAB,Acidobacteriota,9
narGHI-napAB,SAR324,9
narGHI-napAB,Actinobacteriota,7
narGHI-napAB,Chloroflexota,5
narGHI-napAB,Bacteroidota,5
narGHI-napAB,Desulfobacterota_B,3
narGHI-napAB,Nitrospirota,3
narGHI-napAB,Gemmatimonadota,3
narGHI-napAB,Myxococcota_A,3
narGHI-napAB,Nitrospinota,2
narGHI-napAB,Myxococcota,1
narGHI-napAB,Methylomirabilota,1
narGHI-napAB,Latescibacterota,1
narGHI-napAB,Verrucomicrobiota,1
narGHI-napAB,Poribacteria,1
narGHI-napAB,Tectomicrobia,1
narGHI-napAB,KSB1,1
