gene,phylum,num
nirBD-nrfA,Proteobacteria,53
nirBD-nrfA,Planctomycetota,15
nirBD-nrfA,Acidobacteriota,11
nirBD-nrfA,Actinobacteriota,8
nirBD-nrfA,Desulfobacterota_D,7
nirBD-nrfA,Chloroflexota,7
nirBD-nrfA,Desulfobacterota_B,5
nirBD-nrfA,Bacteroidota,5
nirBD-nrfA,Myxococcota_A,4
nirBD-nrfA,Gemmatimonadota,4
nirBD-nrfA,Thermoproteota,4
nirBD-nrfA,Nitrospirota,3
nirBD-nrfA,Methylomirabilota,2
nirBD-nrfA,Tectomicrobia,2
nirBD-nrfA,Myxococcota,1
nirBD-nrfA,Latescibacterota,1
nirBD-nrfA,Verrucomicrobiota,1
nirBD-nrfA,Nitrospinota,1
nirBD-nrfA,KSB1,1
nirBD-nrfA,Krumholzibacteriota,1
nirBD-nrfA,Poribacteria,1
