gene,phylum,num
nirK-nirS,Proteobacteria,55
nirK-nirS,SAR324,8
nirK-nirS,Desulfobacterota_D,7
nirK-nirS,Bacteroidota,6
nirK-nirS,Planctomycetota,5
nirK-nirS,Desulfobacterota_B,5
nirK-nirS,Chloroflexota,5
nirK-nirS,Gemmatimonadota,5
nirK-nirS,Acidobacteriota,4
nirK-nirS,Actinobacteriota,4
nirK-nirS,Methylomirabilota,2
nirK-nirS,Thermoproteota,2
nirK-nirS,Nitrospirota,1
nirK-nirS,Verrucomicrobiota,1
nirK-nirS,Nitrospinota,1
nirK-nirS,Tectomicrobia,1
nirK-nirS,KSB1,1
nirK-nirS,Krumholzibacteriota,1
