phylum,variable,value
Proteobacteria,dsrK,1
Proteobacteria,dsrK,1
Proteobacteria,dsrK,1
Proteobacteria,dsrK,1
Proteobacteria,dsrK,1
Proteobacteria,dsrK,1
Proteobacteria,dsrK,1
Latescibacterota,dsrK,1
Desulfobacterota_D,soxXA,1
Proteobacteria,soxXA,1
Proteobacteria,soxXA,1
Proteobacteria,soxXA,1
Proteobacteria,soxXA,1
Proteobacteria,soxXA,1
Desulfobacterota_D,soxXA,1
Proteobacteria,soxXA,1
Proteobacteria,soxXA,1
Proteobacteria,soxXA,1
Proteobacteria,soxXA,1
Proteobacteria,soxXA,1
Nitrospirota,soxXA,1
Proteobacteria,soxXA,1
Proteobacteria,soxXA,1
Proteobacteria,soxXA,1
Proteobacteria,soxXA,1
Bacteroidota,soxXA,1
Proteobacteria,soxXA,1
Proteobacteria,soxXA,1
Proteobacteria,soxXA,1
Proteobacteria,soxXA,1
Proteobacteria,soxB,1
Proteobacteria,soxB,1
Chloroflexota,soxB,1
Proteobacteria,soxB,1
Proteobacteria,soxB,1
Actinobacteriota,soxB,1
KSB1,soxB,1
Proteobacteria,soxB,1
Proteobacteria,soxB,1
SAR324,soxB,1
Gemmatimonadota,soxB,1
Planctomycetota,soxB,1
Proteobacteria,soxB,1
Bacteroidota,soxB,1
Planctomycetota,soxB,1
Proteobacteria,soxB,1
Proteobacteria,soxB,1
Gemmatimonadota,soxB,1
Proteobacteria,soxB,1
Proteobacteria,soxB,1
Proteobacteria,soxB,1
Nitrospirota,soxB,1
Actinobacteriota,soxB,1
Bacteroidota,soxB,1
Bacteroidota,soxB,1
Planctomycetota,soxB,1
SAR324,soxB,1
Proteobacteria,soxB,1
Latescibacterota,soxB,1
Planctomycetota,soxB,1
SAR324,soxB,1
Proteobacteria,soxB,1
Nitrospirota,soxB,1
Planctomycetota,soxB,1
Proteobacteria,soxB,1
Chloroflexota,soxB,1
Chloroflexota,soxB,1
Proteobacteria,soxB,1
Verrucomicrobiota,soxB,1
Actinobacteriota,soxB,1
Poribacteria,soxB,1
Proteobacteria,soxB,1
Gemmatimonadota,soxB,1
Desulfobacterota_B,soxB,1
Gemmatimonadota,soxB,1
Actinobacteriota,soxC,1
Planctomycetota,soxC,1
Chloroflexota,soxC,1
Proteobacteria,soxC,1
Proteobacteria,soxC,1
Proteobacteria,soxC,1
Actinobacteriota,soxC,1
Proteobacteria,soxC,1
SAR324,soxC,1
Planctomycetota,soxC,1
Proteobacteria,soxC,1
Planctomycetota,soxC,1
