Genome	average	phylum
KW1-S08_123	6.2025539	Thermoproteota
KW1-S08_155	6.149914314	Proteobacteria
A5-S03_29	5.912903529	Proteobacteria
KW1-S05_45	5.157189414	Methylomirabilota
A5-S03_68	4.440532729	Proteobacteria
KW1-S11_18	4.191198671	Proteobacteria
KW1-S11_146	2.729152986	Proteobacteria
KW1-S15_293	2.563677914	Proteobacteria
A5-S03_30	2.320727171	Actinobacteriota
KW1-S05_82	1.940370957	Proteobacteria
KW1-S08_122	1.462568571	Nitrospirota
KW1-S15_262	1.284998	Nitrospirota
A5-S03_71	1.237084743	Methylomirabilota
A5-S03_47	1.046038871	Proteobacteria
KW1-S08_128	0.997859153	Proteobacteria
A5-S03_104	0.964189563	Desulfobacterota_B
A5-S04_200	0.945031543	Proteobacteria
A5-S04_119	0.92977853	Desulfobacterota_B
KW1-S08_268	0.926897809	Tectomicrobia
KW1-S05_127	0.923471411	Desulfobacterota_B
A5-S04_125	0.915304349	Nitrospinota
KW1-S15_188	0.83604275	Tectomicrobia
KW1-S15_126	0.830950853	Desulfobacterota_B
A5-S04_30	0.8136465	Nitrospinota
KW1-S21_6	0.807535986	Desulfobacterota_B
KW1-S05_81	0.782253657	Planctomycetota
KW1-S15_144	0.670466961	Thermoproteota
KW1-S21_141	0.65511743	Proteobacteria
A5-S04_114	0.645045786	Proteobacteria
KW1-S21_193	0.630529146	Gemmatimonadota
KW1-S08_186	0.599157071	Proteobacteria
A5-S03_163	0.58112905	Proteobacteria
KW1-S21_138	0.538949973	Proteobacteria
KW1-S11_81	0.521556793	Proteobacteria
A5-S03_100	0.5208484	Proteobacteria
KW1-S08_121	0.513133703	Thermoproteota
KW1-S05_12	0.508929817	Proteobacteria
KW1-S15_8	0.503847403	Proteobacteria
KW1-S11_176	0.49031732	Proteobacteria
A5-S04_155	0.488820379	Proteobacteria
KW1-S21_238	0.48662174	Proteobacteria
KW1-S21_28	0.485937491	Proteobacteria
KW1-S15_16	0.483535993	Proteobacteria
KW1-S21_196	0.480650736	Acidobacteriota
KW1-S21_85	0.471338041	Acidobacteriota
KW1-S15_197	0.464666561	Acidobacteriota
KW1-S08_12	0.44676975	Proteobacteria
A5-S03_93	0.441840494	Acidobacteriota
KW1-S08_227	0.436714834	Planctomycetota
KW1-S15_266	0.43531638	Desulfobacterota_D
KW1-S05_148	0.425532171	Desulfobacterota_D
KW1-S11_180	0.421277266	Acidobacteriota
A5-S03_4	0.41339651	Desulfobacterota_D
KW1-S11_109	0.41297887	Desulfobacterota_D
A5-S04_22	0.40288394	Desulfobacterota_D
