source	target	s_phylum	s_abundance	t_type
A5-S03_30	ArsAB	Actinobacteriota	2.320727171	TCDB
A5-S03_104	ArsB	Desulfobacterota_B	0.964189563	TCDB
A5-S03_47	ArsB	Proteobacteria	1.046038871	TCDB
KW1-S08_122	ArsB	Nitrospirota	1.462568571	TCDB
KW1-S11_146	ArsB	Proteobacteria	2.729152986	TCDB
A5-S03_47	FeoB	Proteobacteria	1.046038871	TCDB
A5-S04_200	FeoB	Proteobacteria	0.945031543	TCDB
KW1-S08_128	FeoB	Proteobacteria	0.997859153	TCDB
KW1-S15_293	FeoB	Proteobacteria	2.563677914	TCDB
A5-S03_71	ILT	Methylomirabilota	1.237084743	TCDB
A5-S03_29	Mer	Proteobacteria	5.912903529	TCDB
KW1-S05_82	Mer	Proteobacteria	1.940370957	TCDB
KW1-S11_146	Mer	Proteobacteria	2.729152986	TCDB
KW1-S15_262	Mer	Nitrospirota	1.284998	TCDB
A5-S03_68	MntP	Proteobacteria	4.440532729	TCDB
A5-S03_47	Nramp	Proteobacteria	1.046038871	TCDB
A5-S03_71	Nramp	Methylomirabilota	1.237084743	TCDB
A5-S04_200	Nramp	Proteobacteria	0.945031543	TCDB
KW1-S05_45	Nramp	Methylomirabilota	5.157189414	TCDB
KW1-S08_128	Nramp	Proteobacteria	0.997859153	TCDB
A5-S03_29	PbrBC	Proteobacteria	5.912903529	TCDB
A5-S03_30	PbrBC	Actinobacteriota	2.320727171	TCDB
KW1-S05_45	PbrBC	Methylomirabilota	5.157189414	TCDB
KW1-S05_82	PbrBC	Proteobacteria	1.940370957	TCDB
KW1-S08_155	PbrBC	Proteobacteria	6.149914314	TCDB
KW1-S11_18	PbrBC	Proteobacteria	4.191198671	TCDB
A5-S03_30	VIT	Actinobacteriota	2.320727171	TCDB
A5-S03_68	VIT	Proteobacteria	4.440532729	TCDB
A5-S04_119	VIT	Desulfobacterota_B	0.92977853	TCDB
KW1-S08_123	VIT	Thermoproteota	6.2025539	TCDB
A5-S03_30	ZIP	Actinobacteriota	2.320727171	TCDB
ACR3	ACR3			TCDB_n
CopB	CopB			TCDB_n
CopD	CopD			TCDB_n
KW1-S08_155	aioA	Proteobacteria	6.149914314	mental
A5-S03_104	arsC	Desulfobacterota_B	0.964189563	mental
A5-S03_71	arsC	Methylomirabilota	1.237084743	mental
A5-S04_119	arsC	Desulfobacterota_B	0.92977853	mental
KW1-S05_45	arsC	Methylomirabilota	5.157189414	mental
KW1-S05_82	arsC	Proteobacteria	1.940370957	mental
KW1-S11_146	chrR(yieF)	Proteobacteria	2.729152986	mental
A5-S03_30	cotA	Actinobacteriota	2.320727171	mental
A5-S03_104	merA	Desulfobacterota_B	0.964189563	mental
A5-S03_29	merA	Proteobacteria	5.912903529	mental
A5-S03_30	merA	Actinobacteriota	2.320727171	mental
A5-S03_47	merA	Proteobacteria	1.046038871	mental
A5-S03_68	merA	Proteobacteria	4.440532729	mental
A5-S03_71	merA	Methylomirabilota	1.237084743	mental
A5-S04_119	merA	Desulfobacterota_B	0.92977853	mental
KW1-S05_45	merA	Methylomirabilota	5.157189414	mental
KW1-S05_82	merA	Proteobacteria	1.940370957	mental
KW1-S08_155	merA	Proteobacteria	6.149914314	mental
