Gene name	The width of line represent abundance of dominant MAGs	The width of line represent abundance of other MAGs	The width of line represent abundance of all MAGs	Percentage of the abundance of dominant MAGs (%)	Percentage of the abundance of other MAGs (%)
amo-pmo	0.62025539	0.14402260220000002	0.7642779922	81.15573081132086	18.84426918867912
arsC	1.0228613207000001	1.5200361898000003	2.5428975105000005	40.22424484181742	59.77575515818258
APS-SO3	4.5591365474	4.649672773299999	9.208809320699999	49.508425993268816	50.491574006731184
SO3-HS	0.46695239429999996	0.2664917821	0.7334441763999999	63.66570344752962	36.33429655247039
fccAB	1.9721271352999998	0.7400159451999999	2.7121430804999997	72.71471588204065	27.285284117959353
S2O3-SO3	5.047577055899999	4.926827091799999	9.974404147699998	50.605299135226254	49.394700864773746
hao	0.092977853	0.4690448664	0.5620227194	16.54343317281917	83.45656682718082
NO3-NO2	3.9116027245	4.623296580699998	8.534899305199996	45.83068393222643	54.169316067773586
NO2-NH3	4.199918911599999	4.340428469200002	8.540347380800002	49.17737797225971	50.82262202774028
NirK/NirS	3.9014611760000006	3.114819849600001	7.016281025600001	55.60582824098561	44.39417175901439
NxrAB	0.221477653	0.049031732	0.270509385	81.87429541492618	18.125704585073823
Sat	4.540747681699999	2.1302290857000004	6.670976767400001	68.06720874654981	31.932791253450173
S2O3-SO4	2.9835060095	3.0939726258000015	6.077478635300002	49.09118054600493	50.90881945399507
AioA	0.6149914314	0.0145856161	0.6295770475	97.68326749554828	2.316732504451729
Cr(VI)-Cr(III)	1.4806694057	1.2140436913000001	2.694713097	54.947200403204924	45.052799596795076
merA	3.2827882807	2.4163838954000014	5.699172176100001	57.60114239865699	42.39885760134302
merB	0.6990251114	0.49722032889999995	1.1962454402999998	58.43492379161715	41.565076208382855
Cu(1-2)	0.0	0.9510264172000001	0.9510264172000001	0.0	100.0
Cyc2	0.0	0.2050412267	0.2050412267	0.0	100.0
Mn(2-4)	0.3783295742	0.0931790347	0.47150860889999996	80.23810531956546	19.76189468043454
MoxA	2.2638488442000004	1.3413901889	3.6052390331000006	62.79330783383335	37.20669216616665
CE10	2.8548878662	3.8980418917	6.7529297579000005	42.27628553162682	57.723714468373174
CE11	3.3292019388	3.3634545419	6.6926564807	49.744103083739795	50.2558969162602
CE3	0.46695239429999996	0.7737641141999998	1.2407165084999998	37.63570413555112	62.36429586444887
CE4	2.5821806746	2.9528855107000003	5.535066185300001	46.65130620222287	53.34869379777712
GH102	2.0923540457	1.4910566499	3.5834106956	58.3900150844881	41.6099849155119
GH103	1.8853862824	1.9304998605000006	3.8158861429000006	49.40887153847684	50.59112846152316
GH109	1.9633581494999999	2.369672091	4.333030240499999	45.31143427407612	54.68856572592389
GH23	4.195248948800001	4.0784690260000005	8.273717974800002	50.70572820560047	49.29427179439952
GH3	2.8988428452	3.1458126184000004	6.0446554636	47.95712282786658	52.04287717213343
GH37	0.0	0.42110257149999997	0.42110257149999997	0.0	100.0
GH73	1.7533564496	0.9938610242000001	2.7472174738	63.82299422312301	36.17700577687699
GH74	0.5311244485	1.6738790985999998	2.2050035470999996	24.087237827736374	75.91276217226364
CE1	0.7446575574000001	2.5537295127999995	3.2983870701999995	22.57641512507043	77.42358487492957
CE7	0.828824225	1.0349978203	1.8638220453000003	44.469064366420916	55.53093563357907
GH65	1.6741061935000001	0.5056877310000001	2.1797939245	76.80112210075113	23.198877899248867
GH76	0.1893968093	0.2577585462	0.44715535549999996	42.35592998505416	57.64407001494585
GH84	0.0964189563	0.3952462976000001	0.49166525390000004	19.610691529487394	80.38930847051262
CE14	0.6394274157	1.8410612659	2.4804886816	25.778283950384623	74.22171604961538
GH113	0.0	0.9636805264999998	0.9636805264999998	0.0	100.0
GH130	0.47730510099999995	1.1810319845000001	1.6583370855000001	28.782152022855424	71.21784797714457
GH35	0.0	0.27523081450000003	0.27523081450000003	0.0	100.0
GH1	0.0	0.30157093440000005	0.30157093440000005	0.0	100.0
GH13	0.2747566571	0.9828930055999999	1.2576496627	21.846835827883535	78.15316417211646
GH77	0.1462568571	0.4474395319999999	0.5936963891	24.63495816804859	75.3650418319514
PL12	2.0694549243000004	0.6022075456	2.6716624699000002	77.459445106382	22.540554893617998
GH20	0.6394274157	0.49987526639999996	1.1393026820999999	56.12445452347979	43.875545476520216
GH33	0.1462568571	0.7095218063	0.8557786634	17.090500541217395	82.9094994587826
GH78	0.9123427143	0.44100970250000004	1.3533524168000002	67.41353567441311	32.58646432558689
PL22	0.27291529859999997	0.7689225885	1.0418378871	26.195562858600894	73.80443714139909
CE9	0.0	0.6599647593999999	0.6599647593999999	0.0	100.0
GH10	0.0	0.3438774525	0.3438774525	0.0	100.0
GH15	3.4150694443999994	1.4189806659	4.8340501103	70.64613246609603	29.353867533903955
GH154	0.0	0.07763460959999999	0.07763460959999999	0.0	100.0
GH38	0.0	0.4651768704	0.4651768704	0.0	100.0
GH5	0.23207271710000002	0.4161090453	0.6481817623999999	35.80364807561269	64.19635192438732
PL9	0.23207271710000002	0.0962691581	0.3283418752	70.6802070124743	29.319792987525705
GH119	0.1991070414	0.21320826189999997	0.41231530329999994	48.28999549772472	51.71000450227529
GH140	0.0	0.1678316346	0.1678316346	0.0	100.0
GH63	0.0	0.2460874532	0.2460874532	0.0	100.0
CE16	0.12370847430000001	0.0	0.12370847430000001	100.0	0.0
GH16	0.0	0.0762175344	0.0762175344	0.0	100.0
GH43	0.0	0.05920448939999999	0.05920448939999999	0.0	100.0
GH57	0.1462568571	0.6843972155999999	0.8306540726999998	17.607432733652814	82.3925672663472
PL10	0.0	0.07964882529999999	0.07964882529999999	0.0	100.0
GH105	0.0	0.22045891490000002	0.22045891490000002	0.0	100.0
GH18	0.5157189414000001	0.188922674	0.7046416154	73.18882821123825	26.81117178876177
GH145	0.0	0.039514279900000004	0.039514279900000004	0.0	100.0
GH2	0.0	0.27571032300000003	0.27571032300000003	0.0	100.0
PL29	0.0	0.0489379581	0.0489379581	0.0	100.0
GH165	0.0	0.13247294569999998	0.13247294569999998	0.0	100.0
GH68	0.0	0.031153173099999997	0.031153173099999997	0.0	100.0
CE13	0.0945031543	0.1313579182	0.2258610725	41.841275813476	58.158724186524005
GH93	0.0	0.0467794584	0.0467794584	0.0	100.0
GH29	0.0	0.17037915050000002	0.17037915050000002	0.0	100.0
GH31	0.0	0.15136635129999998	0.15136635129999998	0.0	100.0
GH9	0.0	0.0299923915	0.0299923915	0.0	100.0
GH97	0.0	0.1732580413	0.1732580413	0.0	100.0
GH25	0.0	0.181155294	0.181155294	0.0	100.0
CE15	0.0	0.2117181942	0.2117181942	0.0	100.0
PL11	0.0	0.0608098228	0.0608098228	0.0	100.0
PL25	0.0	0.0383786521	0.0383786521	0.0	100.0
GH114	0.0	0.1840761984	0.1840761984	0.0	100.0
GH32	0.0	0.1478285837	0.1478285837	0.0	100.0
GH4	0.0	0.07736550010000001	0.07736550010000001	0.0	100.0
GH24	0.5157189414000001	0.0942910487	0.6100099901	84.54270418021471	15.457295819785296
GH94	0.0	0.09670583429999999	0.09670583429999999	0.0	100.0
GH127	0.0	0.1352823501	0.1352823501	0.0	100.0
GH153	0.0	0.1212713956	0.1212713956	0.0	100.0
GH19	0.0	0.0612867327	0.0612867327	0.0	100.0
GH161	0.5157189414000001	0.0	0.5157189414000001	100.0	0.0
GH133	0.0	0.3945329072	0.3945329072	0.0	100.0
GH100	0.0	0.0370033516	0.0370033516	0.0	100.0
GH92	0.0	0.0520237916	0.0520237916	0.0	100.0
PL1	0.0	0.1014741553	0.1014741553	0.0	100.0
GH129	0.0	0.029125321800000003	0.029125321800000003	0.0	100.0
GH50	0.0	0.0944496159	0.0944496159	0.0	100.0
GH88	0.0	0.0961662255	0.0961662255	0.0	100.0
PL14	0.0	0.08969595329999999	0.08969595329999999	0.0	100.0
GH95	0.0	0.05005005219999999	0.05005005219999999	0.0	100.0
PL35	0.0	0.05664685410000001	0.05664685410000001	0.0	100.0
GH117	0.0	0.0329249087	0.0329249087	0.0	100.0
GH138	0.0	0.057148166599999994	0.057148166599999994	0.0	100.0
GH141	0.0	0.034567582	0.034567582	0.0	100.0
GH143	0.0	0.01502044	0.01502044	0.0	100.0
GH151	0.0	0.01502044	0.01502044	0.0	100.0
GH156	0.0	0.05247205070000001	0.05247205070000001	0.0	100.0
GH26	0.0	0.01502044	0.01502044	0.0	100.0
GH39	0.27291529859999997	0.12082952529999999	0.3937448239	69.3127330276506	30.6872669723494
GH42	0.0	0.0329249087	0.0329249087	0.0	100.0
GH49	0.0	0.01502044	0.01502044	0.0	100.0
PL33	0.0	0.034567582	0.034567582	0.0	100.0
PL6	0.0	0.031021894100000003	0.031021894100000003	0.0	100.0
GH106	0.0	0.037451610700000006	0.037451610700000006	0.0	100.0
GH163	0.0	0.017904468700000002	0.017904468700000002	0.0	100.0
GH36	0.0	0.0499379537	0.0499379537	0.0	100.0
PL26	0.0	0.0628639064	0.0628639064	0.0	100.0
PL31	0.0	0.0677141876	0.0677141876	0.0	100.0
GH30	0.0	0.013528412600000001	0.013528412600000001	0.0	100.0
CE12	0.27291529859999997	0.0	0.27291529859999997	100.0	0.0
GH116	0.0	0.019547142	0.019547142	0.0	100.0
PL15	0.0	0.019547142	0.019547142	0.0	100.0
PL2	0.0	0.019547142	0.019547142	0.0	100.0
GH137	0.0	0.0151523991	0.0151523991	0.0	100.0
