bins	query	target_gene	gene_name	bins phylum	bins abundance
KW1-S08_133	KW1-S08_133_cg35_23	1.A.72	Mer	Bacteroidota	0.370033516
A5-S03_29	A5-S03_29_cg305_11	1.A.72	Mer	Proteobacteria	5.912903529
KW1-S11_145	KW1-S11_145_cg179_10	1.A.72	Mer	Proteobacteria	0.172071763
KW1-S08_133	KW1-S08_133_cg35_25	1.A.72	Mer	Bacteroidota	0.370033516
KW1-S21_260	KW1-S21_260_cg381_2	1.A.72	Mer	Proteobacteria	0.243632343
KW1-S21_141	KW1-S21_141_cg20_35	1.A.72	Mer	Proteobacteria	0.65511743
KW1-S15_262	KW1-S15_262_cg258_5	1.A.72	Mer	Nitrospirota	1.284998
KW1-S11_145	KW1-S11_145_cg333_5	1.A.72	Mer	Proteobacteria	0.172071763
KW1-S05_77	KW1-S05_77_cg137_4	1.A.72	Mer	Proteobacteria	0.200084434
KW1-S21_52	KW1-S21_52_cg255_4	1.A.72	Mer	Bacteroidota	0.154834449
KW1-S08_222	KW1-S08_222_cg59_16	1.A.72	Mer	Bacteroidota	0.150504472
KW1-S08_133	KW1-S08_133_cg115_7	1.A.72	Mer	Bacteroidota	0.370033516
KW1-S11_146	KW1-S11_146_cg5_11	1.A.72	Mer	Proteobacteria	2.729152986
A5-S04_187	A5-S04_187_cg126_5	1.A.72	Mer	Proteobacteria	0.311531731
KW1-S21_231	KW1-S21_231_cg11_2	1.A.72	Mer	Proteobacteria	0.225042987
KW1-S11_146	KW1-S11_146_cg5_12	1.A.72	Mer	Proteobacteria	2.729152986
KW1-S05_82	KW1-S05_82_cg165_21	1.A.72	Mer	Proteobacteria	1.940370957
KW1-S05_53	KW1-S05_53_cg200_4	1.A.72	Mer	Proteobacteria	0.162283196
A5-S04_187	A5-S04_187_cg234_9	1.B.76	CopB	Proteobacteria	0.311531731
KW1-S11_81	KW1-S11_81_cg95_21	1.B.76	CopB	Proteobacteria	0.521556793
KW1-S15_72	KW1-S15_72_cg148_8	1.B.76	CopB	Proteobacteria	0.309811747
KW1-S15_132	KW1-S15_132_cg635_6	1.B.76	CopB	Proteobacteria	0.139503802
KW1-S21_189	KW1-S21_189_cg68_7	1.B.76	CopB	Proteobacteria	0.150738168
KW1-S21_189	KW1-S21_189_cg577_2	1.B.76	CopB	Proteobacteria	0.150738168
KW1-S15_137	KW1-S15_137_cg362_9	1.B.76	CopB	Proteobacteria	0.217595933
KW1-S08_198	KW1-S08_198_cg188_3	1.B.76	CopB	Proteobacteria	0.388910899
KW1-S08_198	KW1-S08_198_cg204_7	1.B.76	CopB	Proteobacteria	0.388910899
KW1-S21_82	KW1-S21_82_cg163_7	1.B.76	CopB	Proteobacteria	0.247573133
KW1-S21_141	KW1-S21_141_cg40_5	1.B.76	CopB	Proteobacteria	0.65511743
KW1-S15_14	KW1-S15_14_cg141_2	1.B.76	CopB	Planctomycetota	0.207537474
KW1-S15_14	KW1-S15_14_cg412_3	1.B.76	CopB	Planctomycetota	0.207537474
KW1-S11_125	KW1-S11_125_cg85_3	1.B.76	CopB	Proteobacteria	0.278560031
A5-S03_121	A5-S03_121_cg194_5	1.B.76	CopB	Planctomycetota	0.255972063
