query	name
KW1-S08_133_cg35_23	Mer
A5-S03_29_cg305_11	Mer
KW1-S11_145_cg179_10	Mer
KW1-S08_133_cg35_25	Mer
KW1-S21_260_cg381_2	Mer
KW1-S21_141_cg20_35	Mer
KW1-S15_262_cg258_5	Mer
KW1-S11_145_cg333_5	Mer
KW1-S05_77_cg137_4	Mer
KW1-S21_52_cg255_4	Mer
KW1-S08_222_cg59_16	Mer
KW1-S08_133_cg115_7	Mer
KW1-S11_146_cg5_11	Mer
A5-S04_187_cg126_5	Mer
KW1-S21_231_cg11_2	Mer
KW1-S11_146_cg5_12	Mer
KW1-S05_82_cg165_21	Mer
KW1-S05_53_cg200_4	Mer
A5-S04_187_cg234_9	CopB
KW1-S11_81_cg95_21	CopB
KW1-S15_72_cg148_8	CopB
KW1-S15_132_cg635_6	CopB
KW1-S21_189_cg68_7	CopB
KW1-S21_189_cg577_2	CopB
KW1-S15_137_cg362_9	CopB
KW1-S08_198_cg188_3	CopB
KW1-S08_198_cg204_7	CopB
KW1-S21_82_cg163_7	CopB
KW1-S21_141_cg40_5	CopB
KW1-S15_14_cg141_2	CopB
KW1-S15_14_cg412_3	CopB
KW1-S11_125_cg85_3	CopB
A5-S03_121_cg194_5	CopB
A5-S04_114_cg64_6	CopB
A5-S03_156_cg414_2	CopB
A5-S03_68_cg436_5	MntP
KW1-S11_190_cg462_9	ILT
KW1-S21_32_cg35_20	ILT
A5-S04_125_cg57_9	ILT
A5-S04_125_cg118_1	ILT
A5-S03_71_cg14_2	ILT
KW1-S11_109_cg44_9	ILT
A5-S03_6_cg254_8	ILT
A5-S03_4_cg130_2	ILT
KW1-S21_271_cg52_12	ILT
KW1-S05_148_cg244_3	ILT
KW1-S15_266_cg188_8	ILT
A5-S04_22_cg240_5	ILT
KW1-S08_226_cg138_3	ILT
KW1-S15_197_cg379_2	ILT
KW1-S21_196_cg279_3	ILT
KW1-S15_115_cg362_1	ILT
KW1-S05_108_cg109_6	ILT
KW1-S08_121_cg174_9	ArsB
KW1-S15_97_cg484_7	ArsB
KW1-S15_115_cg365_7	ArsB
A5-S03_47_cg173_1	ArsB
KW1-S08_227_cg260_6	ArsB
A5-S04_187_cg153_13	ArsB
KW1-S05_81_cg149_4	ArsB
KW1-S08_122_cg49_4	ArsB
KW1-S15_144_cg57_4	ArsB
KW1-S15_23_cg287_7	ArsB
KW1-S15_132_cg560_7	ArsB
KW1-S21_189_cg403_4	ArsB
KW1-S08_17_cg258_2	ArsB
KW1-S15_200_cg497_3	ArsB
KW1-S15_137_cg455_4	ArsB
KW1-S05_127_cg251_3	ArsB
KW1-S15_126_cg330_9	ArsB
KW1-S08_192_cg133_2	ArsB
A5-S03_104_cg399_3	ArsB
KW1-S11_146_cg137_41	ArsB
KW1-S21_32_cg183_11	ArsB
KW1-S08_198_cg169_12	ArsB
A5-S03_6_cg382_2	ZIP
KW1-S15_144_cg29_5	ZIP
KW1-S21_28_cg115_6	ZIP
KW1-S15_197_cg58_5	ZIP
KW1-S15_197_cg93_20	ZIP
KW1-S15_211_cg520_7	ZIP
KW1-S21_196_cg16_11	ZIP
KW1-S11_190_cg85_8	ZIP
KW1-S15_279_cg65_14	ZIP
KW1-S15_197_cg193_2	ZIP
A5-S03_147_cg243_4	ZIP
A5-S03_30_cg326_3	ZIP
KW1-S11_179_cg137_4	ZIP
KW1-S15_162_cg235_2	ZIP
A5-S04_220_cg190_8	ZIP
A5-S04_112_cg269_7	ZIP
KW1-S21_238_cg80_6	ZIP
KW1-S11_81_cg105_2	ZIP
KW1-S15_114_cg38_6	ZIP
KW1-S11_125_cg13_5	ZIP
A5-S03_4_cg115_2	ZIP
KW1-S21_27_cg524_2	ZIP
KW1-S08_46_cg471_4	ZIP
KW1-S15_75_cg170_4	ZIP
KW1-S15_16_cg110_9	ZIP
KW1-S21_123_cg16_4	ZIP
A5-S03_93_cg157_2	ZIP
KW1-S08_144_cg220_2	ZIP
KW1-S05_12_cg9_2	ZIP
KW1-S21_196_cg290_7	ZIP
KW1-S05_53_cg75_2	ZIP
A5-S04_112_cg50_18	Nramp
KW1-S11_190_cg482_1	Nramp
KW1-S08_251_cg188_4	Nramp
