#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CE10.hmm             -            341 KW1-S21_260_cg18_7   -            285   2.4e-21   72.0   0.0   1   1   4.5e-24   2.9e-21   71.7   0.0    67   209    43   188    18   232 0.81 -
GH3.hmm              -            216 KW1-S21_260_cg19_2   -            353   3.5e-51  169.1   0.0   1   1   6.8e-54   4.3e-51  168.8   0.0     8   216    55   282    48   282 0.90 -
AA3_2.hmm            -            568 KW1-S21_260_cg21_5   -            535  2.2e-161  533.6   0.0   1   1    2e-163  2.6e-161  533.4   0.0     1   566     5   530     5   532 0.96 -
AA3.hmm              -            618 KW1-S21_260_cg21_5   -            535  4.1e-104  344.4   0.0   1   1  3.5e-106  4.5e-104  344.3   0.0    86   401     3   533     1   534 0.87 -
AA3_3.hmm            -            590 KW1-S21_260_cg21_5   -            535   1.8e-81  269.5   0.1   1   1   2.3e-67   2.9e-65  216.0   0.0     2   320     6   309     5   353 0.87 -
AA3_1.hmm            -            548 KW1-S21_260_cg21_5   -            535   2.1e-60  200.1   0.0   1   1   2.6e-62   3.4e-60  199.4   0.0    14   546     4   531     1   533 0.79 -
AA8.hmm              -            815 KW1-S21_260_cg21_5   -            535   2.2e-49  163.4   0.0   1   1   4.9e-51   6.3e-49  161.9   0.0   243   776     4   532     1   534 0.80 -
GT2_Glycos_transf_2.hmm PF00535.25   170 KW1-S21_260_cg37_1   -            675     4e-17   57.8   0.2   1   1     1e-19   6.6e-17   57.1   0.2     1   115   428   531   428   543 0.93 Glycosyl transferase family 2
GT4.hmm              -            160 KW1-S21_260_cg37_3   -            361   2.9e-30  100.4   0.0   1   1   1.5e-32   4.9e-30   99.6   0.0     9   159   184   332   177   333 0.94 -
GT5.hmm              -            472 KW1-S21_260_cg37_3   -            361   2.4e-16   54.7   0.0   1   1   1.8e-18   5.7e-16   53.5   0.0   295   471   187   357   147   358 0.82 -
GT9.hmm              -            225 KW1-S21_260_cg37_7   -            350   2.3e-41  137.4   0.0   1   1   4.7e-44     3e-41  137.1   0.0     4   205    73   300    70   322 0.83 -
AA6.hmm              -            195 KW1-S21_260_cg39_1   -            166   1.1e-50  167.1   0.0   1   1     2e-53   1.3e-50  166.9   0.0    46   192    14   160     3   163 0.90 -
