bin	phylum	dsrK	soxXA	soxB	soxC	soxD	fccAB	sat	sir	dsrC/dsrMK	amo-pmo	aprAB	tsdA/tsdB	qmoABC	narGHI/napAB	norBC	dsrEFH/dsrL	nxrAB	URE	cysJI	nosZ	nirA	narB/nasAB	nirK/nirS	nirBD/nrfA	TtrAB	soxZY	nifH	dsrAB	sseA	hao	glpE	phsA	soeAC
KW1-S21_271	Desulfobacterota_D	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	3	1	1	0	0	0	2	0	3	0	0
KW1-S11_89	Acidobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0
A5-S03_30	Actinobacteriota	0	0	0	2	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	2	0	0
A5-S03_33	Proteobacteria	1	0	1	0	0	0	1	0	2	0	3	2	0	2	0	3	0	0	0	0	1	1	1	4	0	0	0	2	0	0	6	1	0
A5-S04_105	Proteobacteria	2	0	2	0	0	0	1	0	3	0	3	1	0	2	0	4	0	0	1	0	1	1	0	3	0	0	0	2	1	0	6	1	0
KW1-S05_12	Proteobacteria	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	2	0	0	0	0	0	6	0	0
KW1-S08_186	Proteobacteria	0	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0	0	2	0	0	2	3	2	1	0	0	0	1	0	8	0	0
A5-S04_131	Planctomycetota	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0
KW1-S05_112	Chloroflexota	0	0	1	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	3	0	0
KW1-S05_110	Proteobacteria	0	0	0	1	2	0	0	0	0	0	2	2	0	1	0	0	0	0	1	0	1	2	1	3	0	0	0	0	1	0	10	0	0
KW1-S11_120	Proteobacteria	0	0	0	0	1	0	1	0	0	0	2	1	0	1	0	3	0	0	1	0	1	1	2	3	0	3	0	0	1	0	13	0	0
KW1-S11_124	Proteobacteria	1	0	2	0	0	0	1	0	2	0	5	0	0	2	0	3	0	0	0	0	1	2	1	3	0	0	0	3	2	0	8	1	0
KW1-S11_125	Proteobacteria	0	1	1	1	2	2	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	3	1	0	0	0	0	0	5	0	0
A5-S03_163	Proteobacteria	0	0	0	2	2	1	0	1	0	0	3	1	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0	2	0	4	0	0
KW1-S08_213	Actinobacteriota	0	0	1	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	1	1	3	0	0	0	0	0	0	5	0	0
KW1-S08_123	Thermoproteota	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	8	0	0	2	0	1	2	0	0	0	0	1	0	1	0	0
KW1-S15_306	KSB1	0	0	2	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	8	0	0
A5-S04_125	Nitrospinota	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	7	0	0
KW1-S21_27	Proteobacteria	0	2	2	1	2	0	1	0	0	3	2	2	0	0	0	0	0	0	1	0	0	5	0	2	0	3	0	0	1	0	10	0	0
KW1-S15_98	Proteobacteria	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	5	2	0	0	2	2	1	1	0	0	0	4	0	7	0	4
KW1-S11_24	SAR324	0	0	0	2	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	1	4	1	0	3	0	1	0	3	0	9	0	0
KW1-S15_97	Planctomycetota	0	0	0	1	0	0	1	0	0	0	2	1	0	1	0	0	0	0	1	0	0	1	1	3	1	0	0	0	1	0	3	1	0
KW1-S21_28	Proteobacteria	0	0	0	0	1	1	0	0	0	2	2	1	0	0	0	0	0	5	1	0	0	1	2	1	0	0	0	0	0	0	6	0	0
KW1-S15_227	Thermoproteota	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1
KW1-S15_23	Proteobacteria	0	0	0	0	0	2	1	0	0	0	2	2	0	1	0	0	0	0	1	0	1	2	1	5	1	5	0	0	0	0	10	0	0
KW1-S21_260	Proteobacteria	1	0	1	0	0	0	1	0	2	0	2	3	0	2	0	3	0	0	1	0	2	1	0	3	0	0	0	2	1	0	4	1	0
KW1-S08_17	Proteobacteria	0	0	0	0	2	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	1	1	2	1	1	0	0	0	0	0	6	0	3
A5-S03_47	Proteobacteria	0	0	0	0	1	1	1	0	0	0	3	2	0	0	0	0	0	0	2	0	1	2	2	1	1	0	0	0	0	0	6	0	0
KW1-S08_12	Proteobacteria	0	0	0	1	3	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	1	1	3	0	1	0	0	0	4	0	7	0	2
KW1-S15_31	Planctomycetota	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
KW1-S21_144	SAR324	0	0	1	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	1	2	1	0	3	0	1	0	3	0	9	1	0
KW1-S11_190	Gemmatimonadota	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	3	3	3	0	0	0	0	0	3	1	0
KW1-S08_237	Planctomycetota	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	5	1	0
KW1-S21_189	Proteobacteria	0	1	0	0	0	2	0	0	0	0	1	1	0	5	0	0	0	0	3	0	1	2	2	4	0	0	0	0	0	0	9	0	0
KW1-S05_82	Proteobacteria	0	2	0	0	2	1	1	0	0	0	4	1	0	1	0	2	0	0	2	0	1	2	1	2	0	2	0	0	2	0	13	0	0
KW1-S05_81	Planctomycetota	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	1	0	2	1	0	0	0	1	0	6	0	0
KW1-S15_149	Proteobacteria	0	3	1	0	2	1	2	0	0	3	2	2	0	0	0	0	0	0	1	0	0	3	1	1	1	3	0	0	1	0	8	0	0
A5-S03_156	Proteobacteria	0	0	0	1	3	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	1	1	2	0	0	0	0	0	2	0	2	0	2
KW1-S05_85	Proteobacteria	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	3	0	0	0	0	0	2	0	5	0	2
KW1-S08_226	Desulfobacterota_D	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	2	2	1	0	0	0	2	0	4	0	0
KW1-S08_229	SAR324	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	1	0	1	2	1	0	3	0	1	0	4	0	11	0	0
KW1-S08_133	Bacteroidota	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	9	0	0
KW1-S08_134	Planctomycetota	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	2	0	0	1	1	1	1	0	0	0	1	0	7	0	1
KW1-S15_144	Thermoproteota	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	2	0	0
KW1-S21_104	Planctomycetota	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	7	1	0
A5-S04_136	Chloroflexota	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	1	1	0	3	0	0	0	0	2	0	2	0	0
A5-S03_4	Desulfobacterota_D	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	2	2	2	0	0	0	1	0	2	0	0
A5-S03_6	Acidobacteriota	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	3	0	0
KW1-S08_89	Proteobacteria	0	2	0	2	2	1	0	0	0	0	6	0	0	1	0	0	0	5	3	0	0	2	3	2	1	0	0	0	3	0	9	0	0
KW1-S15_234	Proteobacteria	1	0	1	0	0	0	1	0	2	0	3	1	0	1	0	4	0	0	0	0	1	2	1	3	0	0	0	2	1	0	4	1	0
KW1-S05_77	Proteobacteria	1	0	1	0	0	0	1	0	2	0	2	1	0	2	0	4	0	0	0	0	2	1	0	4	0	0	0	2	0	0	2	1	0
KW1-S11_180	Acidobacteriota	0	0	0	3	3	0	2	0	0	0	2	2	0	2	0	0	0	0	1	0	1	0	0	5	1	0	0	0	1	0	5	0	0
KW1-S21_193	Gemmatimonadota	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	3	0	0
KW1-S21_196	Acidobacteriota	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	4	0	0
A5-S04_187	Proteobacteria	0	1	2	1	2	5	0	0	0	0	3	1	0	0	0	1	0	0	2	0	1	3	2	2	1	0	0	0	3	0	7	0	0
KW1-S08_62	Proteobacteria	0	0	1	0	0	0	1	0	0	0	3	3	0	4	0	0	0	0	0	0	2	1	1	5	0	0	0	0	1	0	7	1	0
KW1-S15_41	Myxococcota_A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	2	1	0	0	0	0	0	5	0	0
KW1-S21_174	Planctomycetota	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	1	0	0
KW1-S08_236	Bacteroidota	0	0	0	0	0	0	2	0	0	0	2	0	0	4	0	0	0	0	2	0	0	1	1	1	1	0	0	0	0	0	4	0	0
KW1-S11_103	Acidobacteriota	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	2	0	0	1	1	1	2	0	0	0	0	0	6	0	0
KW1-S08_233	Chloroflexota	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0
KW1-S08_128	Proteobacteria	0	0	0	1	3	1	1	0	0	0	2	1	0	0	0	0	0	0	1	0	1	2	1	1	1	0	0	0	1	0	6	0	0
KW1-S15_137	Proteobacteria	0	2	1	1	1	4	0	0	0	0	3	3	0	1	0	0	0	0	1	0	1	2	2	3	5	0	0	0	2	0	8	0	0
KW1-S15_135	Proteobacteria	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	2	0	2
KW1-S11_109	Desulfobacterota_D	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	2	1	3	1	0	0	0	2	0	3	0	0
KW1-S08_122	Nitrospirota	0	0	1	1	1	0	0	0	0	0	3	0	0	3	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	5	0	0
KW1-S15_132	Proteobacteria	0	1	0	1	1	2	1	0	0	0	3	2	0	1	0	0	0	0	1	0	1	1	0	2	1	0	0	0	3	0	7	1	0
KW1-S08_121	Thermoproteota	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	5	0	0	2	0	3	3	0	0	0	0	3	0	3	0	0
KW1-S11_42	Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	4	0	0
A5-S04_220	Proteobacteria	0	1	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	2	0	0	0	0	0	3	0	0
KW1-S15_200	Planctomycetota	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	2	0	1	1	2	2	0	0	0	0	1	0	5	0	0
A5-S04_226	Actinobacteriota	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	2	0	1	0	0	0	0	1	0	4	0	0
A5-S04_22	Desulfobacterota_D	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	2	3	0	0	0	0	1	0	4	0	0
A5-S03_68	Proteobacteria	0	0	0	1	1	0	1	1	0	0	5	0	0	4	0	0	0	0	1	0	1	2	2	3	0	0	0	0	0	0	6	0	3
KW1-S21_242	Proteobacteria	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	2	1	1	0	0	0	1	0	4	0	2
KW1-S08_174	Acidobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	4	1	0
KW1-S15_293	Proteobacteria	0	0	0	0	1	0	2	0	0	0	0	2	0	0	3	0	0	0	3	0	0	2	0	0	0	0	0	0	1	0	6	0	0
KW1-S11_176	Proteobacteria	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	1	0	2	0	0	2	4	0	1	0	0	0	1	0	5	0	0
KW1-S15_8	Proteobacteria	0	0	0	1	1	0	0	1	0	0	3	0	0	1	0	0	0	0	2	0	0	3	3	2	1	0	0	0	1	0	4	0	0
A5-S04_119	Desulfobacterota_B	0	0	0	0	0	0	1	0	0	0	9	0	3	1	0	0	1	0	1	0	1	1	2	1	1	0	0	0	1	1	4	0	1
KW1-S15_14	Planctomycetota	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	3	1	0
KW1-S15_126	Desulfobacterota_B	0	0	0	0	0	0	1	0	0	0	3	0	3	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	2	1	4	0	0
A5-S04_114	Proteobacteria	0	0	0	0	2	3	1	1	0	0	3	2	0	1	0	0	0	0	2	0	1	2	3	1	2	0	0	0	1	0	6	0	0
